text_order_id,sentence,num_triplets,triplets,abbreviation
733,मिलर ने कहा कि वे महा खलनायक मिथक को रखना चाहते हैं जो फ़िल्म में मूल कॉमिक को निर्धारित करता है।,3,"[{'subject': {'upos': 'PROPN', 'text': 'मिलर', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'कहा', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चाहते', 'id': 11, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 5, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'VERB', 'text': 'रखना', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'चाहते', 'id': 11, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'जो', 'id': 13, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'कॉमिक', 'id': 17, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 20, 'deprel': 'acl:relcl', 'head': 8}}]","['SVO', 'SOV', 'SOV']"
16,"पैकेट को वरीयता देने वाले प्रोटोकॉलों के अनुसार अग्रेषित किया जाता है। उदाहरण के लिए, VoIP या VTC पैकेटों को वरीयता दी जाती है। आम तौर पर, नेटवर्क नियंत्रण पैकेटों को डिफ़ाल्ट द्वारा कुछ बैंडविड्थ आबंटित किया जाता है, जबकि सर्वोत्तम प्रयास वाले यातायात को बचा हुआ बैंडविड्थ दिया जाता है।",2,"[{'object': {'upos': 'NOUN', 'text': 'पैकेटों', 'id': 7, 'deprel': 'obj', 'head': 14}, 'subject': {'upos': 'NOUN', 'text': 'डिफ़ाल्ट', 'id': 9, 'deprel': 'nsubj:pass', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'डिफ़ाल्ट', 'id': 9, 'deprel': 'nsubj:pass', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'बैंडविड्थ', 'id': 26, 'deprel': 'obj', 'head': 27}, 'verb': {'upos': 'VERB', 'text': 'दिया', 'id': 27, 'deprel': 'conj', 'head': 14}}]","['OSV', 'SOV']"
44,"शाही परिवार और जनसाधारण कोरियाईयों ने एकत्रित और विनियमित रूप से खाने वाले विशिष्ट व्यंजनों को खाया है, जो कि कोरियाई शाही दरबार ने शाही परिवार के लिए एकत्रित किए थे।",2,"[{'subject': {'upos': 'NOUN', 'text': 'परिवार', 'id': 2, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'व्यंजनों', 'id': 15, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'खाया', 'id': 17, 'deprel': 'root', 'head': 0}}, {'object': {'upos': 'PRON', 'text': 'जो', 'id': 20, 'deprel': 'obj', 'head': 31}, 'subject': {'upos': 'NOUN', 'text': 'दरबार', 'id': 24, 'deprel': 'nsubj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'किए', 'id': 31, 'deprel': 'acl:relcl', 'head': 15}}]","['SOV', 'OSV']"
78,"थिएटर क्रिब ऑफ द नैटिविटी थिएटर और म्यूजियम के थिएटर में 20 मिनट का एक एनीमेटेड शो प्रस्तुत करता है, जो ईसा के जीवन के महत्वपूर्ण चरणों को चित्रित करता है।",2,"[{'subject': {'upos': 'NOUN', 'text': 'थिएटर', 'id': 1, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'शो', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 19, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'जो', 'id': 22, 'deprel': 'nsubj', 'head': 31}, 'object': {'upos': 'NOUN', 'text': 'चरणों', 'id': 28, 'deprel': 'obj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 31, 'deprel': 'acl:relcl', 'head': 17}}]","['SOV', 'SOV']"
180,दर्शकों द्वारा तालियां बजाए जाने और उत्साहित किए जाने पर गेट्स ने प्रशंसा प्रदान की थी।,2,"[{'subject': {'upos': 'NOUN', 'text': 'दर्शकों', 'id': 1, 'deprel': 'nsubj:pass', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'तालियां', 'id': 3, 'deprel': 'obj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'बजाए', 'id': 4, 'deprel': 'obl', 'head': 15}}, {'subject': {'upos': 'PROPN', 'text': 'गेट्स', 'id': 11, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'NOUN', 'text': 'प्रशंसा', 'id': 13, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'की', 'id': 15, 'deprel': 'root', 'head': 0}}]","['SOV', 'SOV']"
203,"बिग डाटा के साथ आकार एक लगातार चलती लक्ष्य है, जो कि कई टेराबाइट्स से लेकर कई पटाबाइट्स तक जाता है। यह डेटासेट विविध जटिल होते हैं जो अंतर्दृष्टि प्रकट करने के लिए तकनीक और एकीकरण के नए रूपों की आवश्यकता रखते हैं। यह भी उच्च मात्रा, उच्च वेग और उच्च किस्म की जानकारी संपत्ति को प्रसंस्करण के नए रूपों में बढ़ावा देता है जो निर्णय लेने, अंतर्दृष्टि की खोज और अनुकूलन प्रक्रियाओं को सक्षम करता है।",2,"[{'subject': {'upos': 'PRON', 'text': 'यह', 'id': 1, 'deprel': 'nsubj', 'head': 21}, 'object': {'upos': 'NOUN', 'text': 'मात्रा', 'id': 4, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'देता', 'id': 21, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'जो', 'id': 23, 'deprel': 'nsubj', 'head': 35}, 'object': {'upos': 'VERB', 'text': 'लेने', 'id': 25, 'deprel': 'obj', 'head': 35}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 35, 'deprel': 'acl:relcl', 'head': 18}}]","['SOV', 'SOV']"
248,"हिंदू धर्मग्रंथ बताते हैं कि वह जो आत्महत्या करता है, आत्माओं की दुनिया में चला जाता है और वहाँ वह तब तक रहता है जब तक कि उसका धरती पर जीवन तय था, यदि वह आत्महत्या न करता।",2,"[{'subject': {'upos': 'NOUN', 'text': 'धर्मग्रंथ', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'बताते', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चला', 'id': 16, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 6, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PRON', 'text': 'जो', 'id': 7, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 9, 'deprel': 'acl:relcl', 'head': 12}}]","['SVO', 'SOV']"
338,बौद्ध धर्म मानता है कि गर्भाधान को रोकना स्वीकार्य है लेकिन गर्भावस्था को समाप्त करना स्वीकार्य नहीं है।,2,"[{'subject': {'upos': 'VERB', 'text': 'रोकना', 'id': 8, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 9, 'deprel': 'obj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 10, 'deprel': 'ccomp', 'head': 3}}, {'subject': {'upos': 'VERB', 'text': 'करना', 'id': 15, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 16, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 18, 'deprel': 'conj', 'head': 10}}]","['SOV', 'SOV']"
414,शहर के भीतर दो छोटे पहाड़ों मोंक्स्बर्ग और कापुज़ीनरबर्ग शहर के हरे फेफड़ों के रूप में कार्य करते हैं और इस प्रकार सहायता देते हैं।,2,"[{'subject': {'upos': 'PROPN', 'text': 'मोंक्स्बर्ग', 'id': 7, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'कार्य', 'id': 17, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'करते', 'id': 18, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'मोंक्स्बर्ग', 'id': 7, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'सहायता', 'id': 23, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'देते', 'id': 24, 'deprel': 'conj', 'head': 18}}]","['SOV', 'SOV']"
593,"शिपमेंट नामक कार्य का नाम बताया जाता है। जब खिलाड़ी कुछ इमारतें, प्रशिक्षण इकाइयों का निर्माण, दुश्मनों को मारने और खज़ाने का संग्रह करने जैसे कार्यों को पूरा करता है, तो वे इन अनुभव अंक प्राप्त करते हैं और इनका उपयोग शिपमेंट करने के लिए कर सकते हैं।",2,"[{'subject': {'upos': 'NOUN', 'text': 'खिलाड़ी', 'id': 2, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'NOUN', 'text': 'कार्यों', 'id': 20, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 23, 'deprel': 'advcl', 'head': 32}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 27, 'deprel': 'nsubj', 'head': 32}, 'object': {'upos': 'NOUN', 'text': 'अंक', 'id': 30, 'deprel': 'obj', 'head': 32}, 'verb': {'upos': 'VERB', 'text': 'करते', 'id': 32, 'deprel': 'root', 'head': 0}}]","['SOV', 'SOV']"
