text_order_id,sentence,num_triplets,triplets,abbreviation
1415,"Allerdings besuchte er die The British School in Neu-Delhi und studierte Geschichte am Balliol College in Oxford, wo er auch einen Master in International Relations machte.",3,"[{'verb': {'upos': 'VERB', 'text': 'besuchte', 'id': 2, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PRON', 'text': 'er', 'id': 3, 'deprel': 'nsubj', 'head': 2}, 'object': {'upos': 'DET', 'text': 'The', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 3, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'studierte', 'id': 13, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Geschichte', 'id': 14, 'deprel': 'obj', 'head': 13}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 23, 'deprel': 'nsubj', 'head': 30}, 'object': {'upos': 'NOUN', 'text': 'Master', 'id': 26, 'deprel': 'obj', 'head': 30}, 'verb': {'upos': 'VERB', 'text': 'machte', 'id': 30, 'deprel': 'acl', 'head': 17}}]","['VSO', 'SVO', 'SOV']"
533,"Beutelteufel verschaffen sich Respekt durch ihre ökologische Rolle, da sie Kadaver schnell beseitigen und somit die Vermehrung von Schädlingen verhindern.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Beutelteufel', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'verschaffen', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 11, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'Kadaver', 'id': 12, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'beseitigen', 'id': 14, 'deprel': 'advcl', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 11, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'Vermehrung', 'id': 18, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'verhindern', 'id': 21, 'deprel': 'conj', 'head': 14}}]","['SVO', 'SOV', 'SOV']"
1560,"Ein Sakuru bezeichnet eine Gruppe, die sich aus einer Person besteht und Dōjinshi herausgibt.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Sakuru', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Gruppe', 'id': 5, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 7, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 8, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'besteht', 'id': 12, 'deprel': 'acl', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 7, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'PROPN', 'text': 'Dōjinshi', 'id': 14, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'herausgibt', 'id': 15, 'deprel': 'conj', 'head': 12}}]","['SVO', 'SOV', 'SOV']"
612,"Pascha löst seine missliche Lage, indem er an seinen besten Mann Jackie schreibt, der Shrikanth Mathurs Tochter Radha entführt und sie als Polizist vorgibt.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Pascha', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'löst', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lage', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 16, 'deprel': 'nsubj', 'head': 21}, 'object': {'upos': 'NOUN', 'text': 'Tochter', 'id': 19, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'entführt', 'id': 21, 'deprel': 'acl', 'head': 12}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 16, 'deprel': 'nsubj', 'head': 21}, 'object': {'upos': 'PRON', 'text': 'sie', 'id': 23, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'vorgibt', 'id': 26, 'deprel': 'conj', 'head': 21}}]","['SVO', 'SOV', 'SOV']"
1557,"Supply-Chain-Management betont die Lieferkette, während Demand-Chain-Management sich auf die Nachfrageseite konzentriert und die Lücke zwischen Customer-Relationship-Management und Supply-Chain-Management schließt.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Management', 'id': 5, 'deprel': 'nsubj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'betont', 'id': 6, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lieferkette', 'id': 8, 'deprel': 'obj', 'head': 6}}, {'subject': {'upos': 'PROPN', 'text': 'Demand', 'id': 11, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 16, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'konzentriert', 'id': 20, 'deprel': 'advcl', 'head': 6}}, {'subject': {'upos': 'PROPN', 'text': 'Demand', 'id': 11, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Lücke', 'id': 23, 'deprel': 'obj', 'head': 36}, 'verb': {'upos': 'VERB', 'text': 'schließt', 'id': 36, 'deprel': 'conj', 'head': 20}}]","['SVO', 'SOV', 'SOV']"
739,"Addison schätzte die Leserschaft des Spectator auf 60.000, was etwa ein Zehntel der Bevölkerung Londons entsprach.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Addison', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'schätzte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Leserschaft', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'was', 'id': 10, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Zehntel', 'id': 13, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'entsprach', 'id': 17, 'deprel': 'acl', 'head': 4}}]","['SVO', 'SOV']"
63,"Armenien behielt einen beachtlichen Grad an Autonomie durch diplomatische Maßnahmen und lokale Herrscher, die sich zwischen den Interessen der Seleukiden und eigenen Bedürfnissen bewegten.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'behielt', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Grad', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 15, 'deprel': 'nsubj', 'head': 25}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 16, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'bewegten', 'id': 25, 'deprel': 'acl', 'head': 13}}]","['SVO', 'SOV']"
385,"Australien hätte Nachteile bei einer Besetzung Burmas, da die Burmastraße für den Nachschub an China wichtig wäre und eine solche Besetzung den Zugriff auf diesen Nachschub behindern würde.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Australien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'hätte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Nachteile', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'NOUN', 'text': 'Besetzung', 'id': 22, 'deprel': 'nsubj', 'head': 28}, 'object': {'upos': 'NOUN', 'text': 'Zugriff', 'id': 24, 'deprel': 'obj', 'head': 28}, 'verb': {'upos': 'VERB', 'text': 'behindern', 'id': 28, 'deprel': 'conj', 'head': 17}}]","['SVO', 'SOV']"
984,Bitte geben Sie weitere Informationen oder stellen Sie die Frage erneut.,2,"[{'verb': {'upos': 'VERB', 'text': 'geben', 'id': 2, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PRON', 'text': 'Sie', 'id': 3, 'deprel': 'nsubj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Informationen', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'verb': {'upos': 'VERB', 'text': 'stellen', 'id': 7, 'deprel': 'conj', 'head': 2}, 'subject': {'upos': 'PRON', 'text': 'Sie', 'id': 8, 'deprel': 'nsubj', 'head': 7}, 'object': {'upos': 'NOUN', 'text': 'Frage', 'id': 10, 'deprel': 'obj', 'head': 7}}]","['VSO', 'VSO']"
1995,"Boioannes baute eine Festung auf einem Pass der Apenninen und setzte normannische Söldner ein, um den Eingang in die apulische Ebene zu sichern.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Boioannes', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'baute', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Festung', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Boioannes', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'setzte', 'id': 11, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Söldner', 'id': 13, 'deprel': 'obj', 'head': 11}}]","['SVO', 'SVO']"
