text_order_id,sentence,num_triplets,triplets,abbreviation
1976,"Die Räte kontrollierten die Stadtverwaltungen, verhafteten kaisertreue Beamte, bildeten ""Rote Garden"" und setzten Konzerndirektionen ab.",4,"[{'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'kontrollierten', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Stadtverwaltungen', 'id': 5, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'verhafteten', 'id': 7, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'NOUN', 'text': 'Beamte', 'id': 9, 'deprel': 'obj', 'head': 7}}, {'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'bildeten', 'id': 11, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'PROPN', 'text': 'Garden', 'id': 14, 'deprel': 'obj', 'head': 11}}, {'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'setzten', 'id': 17, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'NOUN', 'text': 'Konzerndirektionen', 'id': 18, 'deprel': 'obj', 'head': 17}}]","['SVO', 'SVO', 'SVO', 'SVO']"
1782,"Bruce Wayne alias Batman fängt Lau in Hongkong und bringt ihn dann nach Gotham City, wo er ihn an die Polizei ausliefert.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Bruce', 'id': 1, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'fängt', 'id': 5, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Lau', 'id': 6, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'PROPN', 'text': 'Bruce', 'id': 1, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'bringt', 'id': 10, 'deprel': 'conj', 'head': 5}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 11, 'deprel': 'obj', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 18, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 19, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'ausliefert', 'id': 23, 'deprel': 'acl', 'head': 14}}]","['SVO', 'SVO', 'SOV']"
260,"Die japanischen Gangster, angeführt von Lady Tanaka, können Vergeltungsmaßnahmen ergreifen, da sie die amerikanische Unterwelt unter ihre Kontrolle bringen möchten und die Mafia-Kinder entführt haben.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Gangster', 'id': 3, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'Vergeltungsmaßnahmen', 'id': 11, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'ergreifen', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'Unterwelt', 'id': 18, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'bringen', 'id': 22, 'deprel': 'advcl', 'head': 12}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'PROPN', 'text': 'Mafia', 'id': 26, 'deprel': 'obj', 'head': 29}, 'verb': {'upos': 'VERB', 'text': 'entführt', 'id': 29, 'deprel': 'conj', 'head': 22}}]","['SOV', 'SOV', 'SOV']"
1433,"Ein Arzt kann feststellen, dass man Hämorrhoiden hat, indem er eine visuelle Inspektion des Perineums durchführt und den Patienten auffordert, den Schließmuskelapparat zu pressen, um prolabierte Hämorrhoiden zweiten und dritten Grades zu erkennen.",3,"[{'subject': {'upos': 'PRON', 'text': 'man', 'id': 7, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'NOUN', 'text': 'Hämorrhoiden', 'id': 8, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'hat', 'id': 9, 'deprel': 'ccomp', 'head': 4}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 12, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'Inspektion', 'id': 15, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'durchführt', 'id': 18, 'deprel': 'advcl', 'head': 9}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 12, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'Patienten', 'id': 21, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'auffordert', 'id': 22, 'deprel': 'conj', 'head': 18}}]","['SOV', 'SOV', 'SOV']"
1852,"Kaizen bedeutet ""Veränderung zum Besseren"" und bezeichnet sowohl eine japanische Lebens- und Arbeitsphilosophie als auch ein methodisches Konzept, das sich auf die kontinuierliche und unendliche Verbesserung von Produkten oder Prozessen konzentriert.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Kaizen', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bedeutet', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Veränderung', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Kaizen', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 10, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Lebens', 'id': 14, 'deprel': 'obj', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'das', 'id': 24, 'deprel': 'nsubj', 'head': 36}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 25, 'deprel': 'obj', 'head': 36}, 'verb': {'upos': 'VERB', 'text': 'konzentriert', 'id': 36, 'deprel': 'acl', 'head': 22}}]","['SVO', 'SVO', 'SOV']"
439,"Kang aktivierte Cerberus, das Zugangsprogramm zu den US-amerikanischen Nuklearwaffen, mithilfe eines Codes, den er knacken konnte, nachdem er Präsident Ashers Code knackt hatte.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Kang', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'aktivierte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Cerberus', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'object': {'upos': 'PRON', 'text': 'den', 'id': 18, 'deprel': 'obj', 'head': 20}, 'subject': {'upos': 'PRON', 'text': 'er', 'id': 19, 'deprel': 'nsubj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'knacken', 'id': 20, 'deprel': 'acl', 'head': 16}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 24, 'deprel': 'nsubj', 'head': 28}, 'object': {'upos': 'NOUN', 'text': 'Präsident', 'id': 25, 'deprel': 'obj', 'head': 28}, 'verb': {'upos': 'VERB', 'text': 'knackt', 'id': 28, 'deprel': 'advcl', 'head': 20}}]","['SVO', 'OSV', 'SOV']"
870,"1994 hat Khan zugegeben, dass er während Test Matches ""gelegentlich die Seite des Balls aufgeraut und die Naht angehoben"" hätte.",2,"[{'subject': {'upos': 'PRON', 'text': 'er', 'id': 7, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Seite', 'id': 14, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'aufgeraut', 'id': 17, 'deprel': 'ccomp', 'head': 4}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 7, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Naht', 'id': 20, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'angehoben', 'id': 21, 'deprel': 'conj', 'head': 17}}]","['SOV', 'SOV']"
720,"Alice erlangte ihre normale Größe, indem sie von einer Raupe geholfen wurde, die sie dazu brachte, ihre normale Größe zu erlangen.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Alice', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'erlangte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Größe', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'object': {'upos': 'PRON', 'text': 'die', 'id': 15, 'deprel': 'obj', 'head': 18}, 'subject': {'upos': 'PRON', 'text': 'sie', 'id': 16, 'deprel': 'nsubj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'brachte', 'id': 18, 'deprel': 'acl', 'head': 11}}]","['SVO', 'OSV']"
874,"Anschließend besuchte sie die Jawaharlal Nehru University, wo sie Kurse in Deutsch belegte.",2,"[{'verb': {'upos': 'VERB', 'text': 'besuchte', 'id': 2, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PRON', 'text': 'sie', 'id': 3, 'deprel': 'nsubj', 'head': 2}, 'object': {'upos': 'PROPN', 'text': 'Jawaharlal', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 10, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'Kurse', 'id': 11, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'belegte', 'id': 14, 'deprel': 'acl', 'head': 5}}]","['VSO', 'SOV']"
63,Armenien behielt unter der Seleukiden-Herrschaft einen beachtlichen Grad an Autonomie und behielt seine einheimischen Herrscher.,2,"[{'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'behielt', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Grad', 'id': 10, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'behielt', 'id': 14, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Herrscher', 'id': 17, 'deprel': 'obj', 'head': 14}}]","['SVO', 'SVO']"
