text_order_id,sentence,num_triplets,triplets,abbreviation
720,पूजा ने राज को टीना के नाम से लिखा क्योंकि टीना जल्द ही अन्य चीजों में व्यस्त हो जाती है और पूजा ने राज को टीना के नाम से लिखा ताकि टीना अपना वादा पूरा कर सके।,3,"[{'subject': {'upos': 'PROPN', 'text': 'पूजा', 'id': 1, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PROPN', 'text': 'राज', 'id': 3, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'लिखा', 'id': 9, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'पूजा', 'id': 22, 'deprel': 'nsubj', 'head': 30}, 'object': {'upos': 'PROPN', 'text': 'राज', 'id': 24, 'deprel': 'obj', 'head': 30}, 'verb': {'upos': 'VERB', 'text': 'लिखा', 'id': 30, 'deprel': 'conj', 'head': 18}}, {'subject': {'upos': 'PROPN', 'text': 'टीना', 'id': 32, 'deprel': 'nsubj', 'head': 36}, 'object': {'upos': 'NOUN', 'text': 'वादा', 'id': 34, 'deprel': 'obj', 'head': 36}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 36, 'deprel': 'advcl', 'head': 30}}]","['SOV', 'SOV', 'SOV']"
733,मिलर ने कहा कि वे महा खलनायक मिथक को रखना चाहते हैं जो फ़िल्म में मूल कॉमिक को निर्धारित करता है। उन्होंने भी कहा कि वे उन चरित्रों को शक्तियों के साथ भरना चाहते हैं लेकिन इसे एक पैनल के लिए करना और फिर भूल जाना चाहते हैं।,3,"[{'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'कहा', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चाहते', 'id': 13, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 5, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'VERB', 'text': 'भरना', 'id': 12, 'deprel': 'obj', 'head': 13}, 'verb': {'upos': 'VERB', 'text': 'चाहते', 'id': 13, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 5, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'VERB', 'text': 'करना', 'id': 21, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'चाहते', 'id': 26, 'deprel': 'conj', 'head': 13}}]","['SVO', 'SOV', 'SOV']"
248,"हिंदू धर्मग्रंथ बताते हैं कि वह जो आत्महत्या करता है, आत्माओं की दुनिया में चला जाता है और वहाँ वह तब तक रहता है जब तक कि उसका धरती पर जीवन तय था, यदि वह आत्महत्या न करता।",2,"[{'subject': {'upos': 'NOUN', 'text': 'धर्मग्रंथ', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'बताते', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चला', 'id': 16, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 6, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PRON', 'text': 'जो', 'id': 7, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 9, 'deprel': 'acl:relcl', 'head': 12}}]","['SVO', 'SOV']"
328,महिलाएं अक्सर शुक्रवाहिकोच्छेदन उलटाव करवाना चाहती हैं क्योंकि डिंबवाहनी बंधन की तुलना में यह बारह गुना कम जटिलताएं और गंभीर जटिलताएं दिखाई देती हैं।,2,"[{'subject': {'upos': 'NOUN', 'text': 'महिलाएं', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'VERB', 'text': 'करवाना', 'id': 5, 'deprel': 'obj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'चाहती', 'id': 6, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'यह', 'id': 14, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'जटिलताएं', 'id': 18, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'दिखाई', 'id': 22, 'deprel': 'advcl', 'head': 6}}]","['SOV', 'SOV']"
338,इस्लाम मानता है कि गर्भनिरोध को स्वीकार्य है लेकिन गर्भावस्था को समाप्त करना स्वीकार्य नहीं है।,2,"[{'subject': {'upos': 'PROPN', 'text': 'इस्लाम', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'मानता', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 7, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'VERB', 'text': 'करना', 'id': 13, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 14, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 16, 'deprel': 'conj', 'head': 7}}]","['SVO', 'SOV']"
742,"बैंड ने एल्बम को एक डिब्बे के सेट के रूप में रिलीज़ नहीं किया, क्योंकि वे इसे सर्वश्रेष्ठ गीतों का एल्बम जारी करने की योजना रद्द कर दी।",2,"[{'subject': {'upos': 'NOUN', 'text': 'बैंड', 'id': 1, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'एल्बम', 'id': 3, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 17, 'deprel': 'nsubj', 'head': 28}, 'object': {'upos': 'NOUN', 'text': 'योजना', 'id': 26, 'deprel': 'obj', 'head': 28}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 28, 'deprel': 'advcl', 'head': 14}}]","['SOV', 'SOV']"
767,पर्यटन बहुत पैसा कमाता है और आगंतुकों को स्कॉटलैंड में आकर्षित करता है।,2,"[{'subject': {'upos': 'NOUN', 'text': 'पर्यटन', 'id': 1, 'deprel': 'nsubj', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'पैसा', 'id': 3, 'deprel': 'obj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'कमाता', 'id': 4, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'पर्यटन', 'id': 1, 'deprel': 'nsubj', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'आगंतुकों', 'id': 7, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 12, 'deprel': 'conj', 'head': 4}}]","['SOV', 'SOV']"
864,फाउलस्टिच ने 44 साल तक स्कॉट एजी में काम किया और 1979 में सेवानिवृत्त होने के बाद दूरदराज के देशों की यात्रा की और ग्लास सम्मेलनों में व्याख्यान और प्रस्तुतियां दी।,2,"[{'subject': {'upos': 'PROPN', 'text': 'फाउलस्टिच', 'id': 1, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'काम', 'id': 9, 'deprel': 'obj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 10, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'फाउलस्टिच', 'id': 1, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'व्याख्यान', 'id': 28, 'deprel': 'obj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'दी', 'id': 31, 'deprel': 'conj', 'head': 23}}]","['SOV', 'SOV']"
906,"आत्म-चित्रांकन जब कलाकार खुद अपना चित्र बनाता है, तो उसे आत्म-चित्रांकन कहते हैं।",2,"[{'subject': {'upos': 'NOUN', 'text': 'आत्म-चित्रांकन', 'id': 1, 'deprel': 'nsubj', 'head': 7}, 'object': {'upos': 'NOUN', 'text': 'चित्र', 'id': 6, 'deprel': 'obj', 'head': 7}, 'verb': {'upos': 'VERB', 'text': 'बनाता', 'id': 7, 'deprel': 'acl:relcl', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'उसे', 'id': 11, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'NOUN', 'text': 'आत्म-चित्रांकन', 'id': 12, 'deprel': 'obj', 'head': 13}, 'verb': {'upos': 'VERB', 'text': 'कहते', 'id': 13, 'deprel': 'root', 'head': 0}}]","['SOV', 'SOV']"
965,क्रॉफर्ड लिखती हैं कि राजा के कुछ सलाहकर एलिज़ाबेथ को राजकुमारी के लायक नहीं मानते थे क्योंकि वह बिना साम्राज्य के राजकुमार थीं।,2,"[{'subject': {'upos': 'PROPN', 'text': 'क्रॉफर्ड', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'लिखती', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'मानते', 'id': 15, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'NOUN', 'text': 'सलाहकर', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PROPN', 'text': 'एलिज़ाबेथ', 'id': 9, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'मानते', 'id': 15, 'deprel': 'obj', 'head': 2}}]","['SVO', 'SOV']"
