text_order_id,sentence,num_triplets,triplets,abbreviation
1256,"Die Band musste Dimebag Darrells Anfrage abweisen, weil sie gerade erst Schlagzeuger Nick Menza angeheuert hatten und keine weiteren Gitarristen einstellen konnten.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Band', 'id': 2, 'deprel': 'nsubj', 'head': 7}, 'object': {'upos': 'NOUN', 'text': 'Anfrage', 'id': 6, 'deprel': 'obj', 'head': 7}, 'verb': {'upos': 'VERB', 'text': 'abweisen', 'id': 7, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 10, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'NOUN', 'text': 'Schlagzeuger', 'id': 13, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'angeheuert', 'id': 16, 'deprel': 'advcl', 'head': 7}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 10, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'NOUN', 'text': 'Gitarristen', 'id': 21, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'einstellen', 'id': 22, 'deprel': 'conj', 'head': 16}}]","['SOV', 'SOV', 'SOV']"
313,"Jianyuan bezeichnet in der traditionellen chinesischen Geschichtsschreibung das Ausrufen des ersten Äranamens, wenn ein Kaiser eine neue Ära ausrief, die eine alte ablöste.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Jianyuan', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Ausrufen', 'id': 9, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'NOUN', 'text': 'Kaiser', 'id': 16, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Ära', 'id': 19, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'ausrief', 'id': 20, 'deprel': 'advcl', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 22, 'deprel': 'nsubj', 'head': 25}, 'object': {'upos': 'NOUN', 'text': 'alte', 'id': 24, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'ablöste', 'id': 25, 'deprel': 'acl', 'head': 19}}]","['SVO', 'SOV', 'SOV']"
880,"Katharina unterstützte öffentlich Heinrichs Beziehung zu Anne vor der Reise nach Calais im Oktober 1532, indem sie ihre Kronjuwelen an Anne abgab, die diese bei offiziellen Anlässen trug.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Katharina', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'unterstützte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Beziehung', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 19, 'deprel': 'nsubj', 'head': 24}, 'object': {'upos': 'NOUN', 'text': 'Kronjuwelen', 'id': 21, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'abgab', 'id': 24, 'deprel': 'advcl', 'head': 2}}, {'object': {'upos': 'PRON', 'text': 'die', 'id': 26, 'deprel': 'obj', 'head': 31}, 'subject': {'upos': 'DET', 'text': 'diese', 'id': 27, 'deprel': 'nsubj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'trug', 'id': 31, 'deprel': 'acl', 'head': 23}}]","['SVO', 'SOV', 'OSV']"
653,"Man kann eine nicht schwer ausgeprägte virale Meningitis ambulant zu Hause behandeln, indem man Bettruhe einhält, Schmerzmittel nimmt und ausreichend Flüssigkeit intakes.",3,"[{'subject': {'upos': 'PRON', 'text': 'Man', 'id': 1, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'Meningitis', 'id': 8, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'behandeln', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'man', 'id': 15, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Bettruhe', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'einhält', 'id': 17, 'deprel': 'advcl', 'head': 12}}, {'subject': {'upos': 'PRON', 'text': 'man', 'id': 15, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Schmerzmittel', 'id': 19, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'nimmt', 'id': 20, 'deprel': 'conj', 'head': 17}}]","['SOV', 'SOV', 'SOV']"
612,"Pascha löst seine missliche Lage, indem er an seinen besten Mann Jackie schreibt, der Shrikanth Mathur warnt und dessen Tochter Radha entführt.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Pascha', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'löst', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lage', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'PROPN', 'text': 'Shrikanth', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'warnt', 'id': 19, 'deprel': 'acl', 'head': 12}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'Tochter', 'id': 22, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'entführt', 'id': 24, 'deprel': 'conj', 'head': 19}}]","['SVO', 'SOV', 'SOV']"
1557,"Supply-Chain-Management betont die Lieferkette, während Demand-Chain-Management die Nachfrageseite betont und die Lücke zwischen Customer-Relationship-Management und Supply-Chain-Management schließt.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Management', 'id': 5, 'deprel': 'nsubj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'betont', 'id': 6, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lieferkette', 'id': 8, 'deprel': 'obj', 'head': 6}}, {'subject': {'upos': 'PROPN', 'text': 'Demand', 'id': 11, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'Nachfrageseite', 'id': 17, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'betont', 'id': 18, 'deprel': 'advcl', 'head': 6}}, {'subject': {'upos': 'PROPN', 'text': 'Demand', 'id': 11, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'Lücke', 'id': 21, 'deprel': 'obj', 'head': 34}, 'verb': {'upos': 'VERB', 'text': 'schließt', 'id': 34, 'deprel': 'conj', 'head': 18}}]","['SVO', 'SOV', 'SOV']"
506,"Bayramov komponierte sein tiefgreifendstes Meisterwerk 1985, genauer gesagt begann er die Arbeit an ""Goldener Schleier"" diesem Jahr.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Bayramov', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'komponierte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Meisterwerk', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'verb': {'upos': 'VERB', 'text': 'begann', 'id': 10, 'deprel': 'conj', 'head': 2}, 'subject': {'upos': 'PRON', 'text': 'er', 'id': 11, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'Arbeit', 'id': 13, 'deprel': 'obj', 'head': 10}}]","['SVO', 'VSO']"
1490,"Bevor Carlin Burns ein erfolgreiches Komödianten-Team mit Jack Burns gründete, trafen sie sich beim Sender KXOL in Fort Worth (Texas).",2,"[{'subject': {'upos': 'PROPN', 'text': 'Carlin', 'id': 2, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'Team', 'id': 8, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'gründete', 'id': 12, 'deprel': 'advcl', 'head': 14}}, {'verb': {'upos': 'VERB', 'text': 'trafen', 'id': 14, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 16, 'deprel': 'obj', 'head': 14}}]","['SOV', 'VSO']"
101,"Bond tötet Sciarra, da dieser sich als Terroristen-Anführer herausstellt.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Bond', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'tötet', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Sciarra', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'DET', 'text': 'dieser', 'id': 6, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 7, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'herausstellt', 'id': 12, 'deprel': 'advcl', 'head': 2}}]","['SVO', 'SOV']"
385,"China hätte Nachteile bei einer Besetzung Burmas, da die Burmastraße dann geschlossen werden würde, was den alliierten Nachschub für China abcappen würde.",2,"[{'subject': {'upos': 'PROPN', 'text': 'China', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'hätte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Nachteile', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'was', 'id': 17, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'NOUN', 'text': 'Nachschub', 'id': 20, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'abcappen', 'id': 23, 'deprel': 'acl', 'head': 13}}]","['SVO', 'SOV']"
1937,"Das Grove-Element wurde dem Daniell-Element vorzuziehen, weil es eine höhere Zellspannung von 1,9 V hatte, was zuverlässigere Betriebsvorgänge bei den ersten Telegrafiesystemen ermöglichte.",2,"[{'subject': {'upos': 'PRON', 'text': 'es', 'id': 13, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Zellspannung', 'id': 16, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'hatte', 'id': 20, 'deprel': 'advcl', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'was', 'id': 22, 'deprel': 'nsubj', 'head': 29}, 'object': {'upos': 'NOUN', 'text': 'Betriebsvorgänge', 'id': 24, 'deprel': 'obj', 'head': 29}, 'verb': {'upos': 'VERB', 'text': 'ermöglichte', 'id': 29, 'deprel': 'acl', 'head': 20}}]","['SOV', 'SOV']"
1963,"Der Massenprotest führte zu einem allgemeinen Aufstand, bei dem Soldaten und Arbeiter die öffentlichen und militärischen Einrichtungen Kiels unter ihre Kontrolle brachten und die Abdankung der Hohenzollern sowie das freie und gleiche Wahlrecht für Männer und Frauen forderten.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Soldaten', 'id': 11, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'NOUN', 'text': 'Einrichtungen', 'id': 18, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'brachten', 'id': 23, 'deprel': 'acl', 'head': 7}}, {'subject': {'upos': 'NOUN', 'text': 'Soldaten', 'id': 11, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'NOUN', 'text': 'Abdankung', 'id': 26, 'deprel': 'obj', 'head': 39}, 'verb': {'upos': 'VERB', 'text': 'forderten', 'id': 39, 'deprel': 'conj', 'head': 23}}]","['SOV', 'SOV']"
893,"Der Name MySQL setzt sich zusammen aus dem Vornamen My, den die Tochter des MySQL-AB-Mitbegründers Michael Widenius trägt, und SQL.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Name', 'id': 2, 'deprel': 'nsubj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'setzt', 'id': 4, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 5, 'deprel': 'obj', 'head': 4}}, {'object': {'upos': 'PRON', 'text': 'den', 'id': 12, 'deprel': 'obj', 'head': 21}, 'subject': {'upos': 'NOUN', 'text': 'Tochter', 'id': 14, 'deprel': 'nsubj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'trägt', 'id': 21, 'deprel': 'acl', 'head': 9}}]","['SVO', 'OSV']"
347,"Der Text gibt keine spezifischen Informationen über den militärischen Rang des spanischen Kommandanten, der Wilkinsons Streitmacht keinen Widerstand leistete.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Text', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'gibt', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Informationen', 'id': 6, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 15, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Streitmacht', 'id': 17, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'leistete', 'id': 20, 'deprel': 'acl', 'head': 13}}]","['SVO', 'SOV']"
187,"Der Text gibt nicht genügend Informationen darüber, wie oft der Mossad vergebliche Versuche unternommen hat, Salameh umzubringen.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Text', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'gibt', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Informationen', 'id': 6, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PROPN', 'text': 'Mossad', 'id': 12, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'NOUN', 'text': 'Versuche', 'id': 14, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'unternommen', 'id': 15, 'deprel': 'ccomp', 'head': 6}}]","['SVO', 'SOV']"
1974,Die bisherigen kaiserlichen Beamten konnten ihre Stellungen halten und ihre Arbeit zum großen Teil unverändert fortsetzen.,2,"[{'subject': {'upos': 'NOUN', 'text': 'Beamten', 'id': 4, 'deprel': 'nsubj', 'head': 8}, 'object': {'upos': 'NOUN', 'text': 'Stellungen', 'id': 7, 'deprel': 'obj', 'head': 8}, 'verb': {'upos': 'VERB', 'text': 'halten', 'id': 8, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'Beamten', 'id': 4, 'deprel': 'nsubj', 'head': 8}, 'object': {'upos': 'NOUN', 'text': 'Arbeit', 'id': 11, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'fortsetzen', 'id': 17, 'deprel': 'conj', 'head': 8}}]","['SOV', 'SOV']"
1551,"Die Exclusion Bill führte zur Bildung des englischen Zweiparteiensystems, da die Whigs das Gesetz unterstützten und die Tories sich ihm widersetzten.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Whigs', 'id': 14, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Gesetz', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'unterstützten', 'id': 17, 'deprel': 'advcl', 'head': 4}}, {'subject': {'upos': 'NOUN', 'text': 'Tories', 'id': 20, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 21, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'widersetzten', 'id': 23, 'deprel': 'conj', 'head': 17}}]","['SOV', 'SOV']"
5,Die feinen Aschepartikel bewirkten Kurzschlüsse in Transformatoren und zogen so Stromausfälle nach sich.,2,"[{'subject': {'upos': 'NOUN', 'text': 'Aschepartikel', 'id': 3, 'deprel': 'nsubj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'bewirkten', 'id': 4, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Kurzschlüsse', 'id': 5, 'deprel': 'obj', 'head': 4}}, {'subject': {'upos': 'NOUN', 'text': 'Aschepartikel', 'id': 3, 'deprel': 'nsubj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'zogen', 'id': 9, 'deprel': 'conj', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'Stromausfälle', 'id': 11, 'deprel': 'obj', 'head': 9}}]","['SVO', 'SVO']"
1580,"Die Gruppe, die sich in Halifax zu sehr von der Regierung getrennt sah, nannte sich die Loyalisten.",2,"[{'subject': {'upos': 'PRON', 'text': 'die', 'id': 4, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 5, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'sah', 'id': 14, 'deprel': 'acl', 'head': 2}}, {'subject': {'upos': 'NOUN', 'text': 'Gruppe', 'id': 2, 'deprel': 'nsubj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'nannte', 'id': 16, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 17, 'deprel': 'obj', 'head': 16}}]","['SOV', 'SVO']"
1855,Die HomO-Behörde unntersuchte Beschwerden und reichte die Klagen ein.,2,"[{'subject': {'upos': 'PROPN', 'text': 'HomO', 'id': 2, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'unntersuchte', 'id': 5, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Beschwerden', 'id': 6, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'PROPN', 'text': 'HomO', 'id': 2, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'reichte', 'id': 8, 'deprel': 'conj', 'head': 5}, 'object': {'upos': 'NOUN', 'text': 'Klagen', 'id': 10, 'deprel': 'obj', 'head': 8}}]","['SVO', 'SVO']"
1472,Die Informationen in den bereitgestellten Texten lassen keine spezifische Antwort auf die Frage „Wo trafen sich die Eltern des Jungen?“ zu.,2,"[{'subject': {'upos': 'NOUN', 'text': 'Informationen', 'id': 2, 'deprel': 'nsubj', 'head': 7}, 'verb': {'upos': 'VERB', 'text': 'lassen', 'id': 7, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Antwort', 'id': 10, 'deprel': 'obj', 'head': 7}}, {'verb': {'upos': 'VERB', 'text': 'trafen', 'id': 16, 'deprel': 'parataxis', 'head': 7}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 17, 'deprel': 'obj', 'head': 16}, 'subject': {'upos': 'NOUN', 'text': 'Eltern', 'id': 19, 'deprel': 'nsubj', 'head': 16}}]","['SVO', 'VOS']"
443,"Die isländische Route 1 führt durch die Außenbezirke von Reykjavík und erstreckt sich nach Osten über die Hellisheiði Richtung Selfoss und nach Nordwesten Richtung Akranes und Borgarnes, wobei sie das Bergmassiv der Esja umrundet.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Route', 'id': 3, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'erstreckt', 'id': 12, 'deprel': 'conj', 'head': 5}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 13, 'deprel': 'obj', 'head': 12}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 30, 'deprel': 'nsubj', 'head': 35}, 'object': {'upos': 'NOUN', 'text': 'Bergmassiv', 'id': 32, 'deprel': 'obj', 'head': 35}, 'verb': {'upos': 'VERB', 'text': 'umrundet', 'id': 35, 'deprel': 'advcl', 'head': 12}}]","['SVO', 'SOV']"
104,"Die japanische Armee verlor auf Leyte etwa 49.000 Mann, während die japanische Marine 26 große Kriegsschiffe und 46 große Frachter und Handelsschiffe einbüßte.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Armee', 'id': 3, 'deprel': 'nsubj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'verlor', 'id': 4, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Mann', 'id': 9, 'deprel': 'obj', 'head': 4}}, {'subject': {'upos': 'NOUN', 'text': 'Marine', 'id': 14, 'deprel': 'nsubj', 'head': 24}, 'object': {'upos': 'NOUN', 'text': 'Kriegsschiffe', 'id': 17, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'einbüßte', 'id': 24, 'deprel': 'advcl', 'head': 4}}]","['SVO', 'SOV']"
1345,"Die Modifikation des ENIAC zu einem Computer mit Befehlsspeicher verlangsamte seine Rechenleistung auf 1/6, aber es verringerte auch die Dauer des Umprogrammierens, sodass insgesamt ein Zeitgewinn erzielt wurde.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Modifikation', 'id': 2, 'deprel': 'nsubj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'verlangsamte', 'id': 10, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Rechenleistung', 'id': 12, 'deprel': 'obj', 'head': 10}}, {'subject': {'upos': 'NOUN', 'text': 'Modifikation', 'id': 2, 'deprel': 'nsubj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'verringerte', 'id': 18, 'deprel': 'conj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'Dauer', 'id': 21, 'deprel': 'obj', 'head': 18}}]","['SVO', 'SVO']"
