text_order_id,sentence,num_triplets,triplets,abbreviation
734,"कांग संयुक्त राज्य अमेरिका के खिलाफ उपयोग करने के लिए क्या चाह रहा है, इसका उल्लेख पाठ में नहीं है, लेकिन हम जानते हैं कि कांग ने संयुक्त राज्य अमेरिका के सभी आणविक हथियारों के आयुध भंडारो को विस्फोट से तबाह कर देने की योजना बनायी है, और उसके बाद संयुक्त राज्य अमेरिका को श्मशान बना देगा और अपने परिवार की मौत का बदला भी पूरा कर लेगा।",4,"[{'subject': {'upos': 'PRON', 'text': 'हम', 'id': 24, 'deprel': 'nsubj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'जानते', 'id': 25, 'deprel': 'conj', 'head': 18}, 'object': {'upos': 'VERB', 'text': 'बनायी', 'id': 48, 'deprel': 'obj', 'head': 25}}, {'subject': {'upos': 'PROPN', 'text': 'कांग', 'id': 28, 'deprel': 'nsubj', 'head': 48}, 'object': {'upos': 'NOUN', 'text': 'योजना', 'id': 47, 'deprel': 'obj', 'head': 48}, 'verb': {'upos': 'VERB', 'text': 'बनायी', 'id': 48, 'deprel': 'obj', 'head': 25}}, {'subject': {'upos': 'PROPN', 'text': 'राज्य', 'id': 55, 'deprel': 'nsubj', 'head': 59}, 'object': {'upos': 'NOUN', 'text': 'श्मशान', 'id': 58, 'deprel': 'obj', 'head': 59}, 'verb': {'upos': 'VERB', 'text': 'बना', 'id': 59, 'deprel': 'conj', 'head': 48}}, {'subject': {'upos': 'PROPN', 'text': 'राज्य', 'id': 55, 'deprel': 'nsubj', 'head': 59}, 'object': {'upos': 'NOUN', 'text': 'बदला', 'id': 67, 'deprel': 'obj', 'head': 70}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 70, 'deprel': 'conj', 'head': 59}}]","['SVO', 'SOV', 'SOV', 'SOV']"
152,"मुस्लिम लड़की की दो मुख्य इच्छाएँ थीं - पहली उसकी इच्छा थी कि वह मुअज्जिन बनना चाहती है और अज़ान बोलना चाहती है, और दूसरी उसकी इच्छा थी कि वह स्कूल के नाटक में भाग लेना चाहती है।",3,"[{'subject': {'upos': 'PRON', 'text': 'वह', 'id': 14, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'VERB', 'text': 'बनना', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'चाहती', 'id': 17, 'deprel': 'acl', 'head': 11}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 14, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'VERB', 'text': 'बोलना', 'id': 21, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'चाहती', 'id': 22, 'deprel': 'conj', 'head': 17}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 31, 'deprel': 'nsubj', 'head': 38}, 'object': {'upos': 'VERB', 'text': 'लेना', 'id': 37, 'deprel': 'obj', 'head': 38}, 'verb': {'upos': 'VERB', 'text': 'चाहती', 'id': 38, 'deprel': 'acl', 'head': 28}}]","['SOV', 'SOV', 'SOV']"
742,बैंड ने एल्बम को एक डिब्बे के सेट के रूप में रिलीज़ नहीं किया क्योंकि उन्होंने वह योजना रद्द कर दी और सर्वश्रेष्ठ गीतों का एल्बम जारी किया.,3,"[{'subject': {'upos': 'NOUN', 'text': 'बैंड', 'id': 1, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'एल्बम', 'id': 3, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 16, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'योजना', 'id': 18, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 20, 'deprel': 'advcl', 'head': 14}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 16, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'एल्बम', 'id': 26, 'deprel': 'obj', 'head': 28}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 28, 'deprel': 'conj', 'head': 20}}]","['SOV', 'SOV', 'SOV']"
909,"- किसी भी पाठ सामग्री में ऐसा नहीं है कि फिल्म में मुख्य भूमिका किसने निभाई। लेकिन, अगर आप संदर्भित फिल्म का नाम जानते हैं, तो मैं आपको बता सकता हूँ कि किसने मुख्य भूमिका निभाई है। लेकिन, अगर आप संदर्भित फिल्म का नाम नहीं जानते, तो मैं आपको बता नहीं सकता क्योंकि मेरे पास ऐसा कोई पाठ सामग्री नहीं है जिससे मैं आपको उत्तर दे सके।",3,"[{'subject': {'upos': 'PRON', 'text': 'आप', 'id': 4, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'नाम', 'id': 8, 'deprel': 'obj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'जानते', 'id': 10, 'deprel': 'advcl', 'head': 15}}, {'subject': {'upos': 'PRON', 'text': 'मैं', 'id': 13, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PRON', 'text': 'आपको', 'id': 14, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'बता', 'id': 15, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'मैं', 'id': 28, 'deprel': 'nsubj', 'head': 31}, 'object': {'upos': 'NOUN', 'text': 'उत्तर', 'id': 30, 'deprel': 'obj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'दे', 'id': 31, 'deprel': 'acl:relcl', 'head': 24}}]","['SOV', 'SOV', 'SOV']"
1264,"जब सारांशित करने के बाद, निर्माता लेखक के साथ मिलकर कहानी का सारांश तैयार करता है और एक स्टेप आउटलाइन तैयार करता है, जो पूरी कहानी को एक-अनुच्छेद के दृश्यों में विभाजित कर देता है।",3,"[{'subject': {'upos': 'NOUN', 'text': 'निर्माता', 'id': 7, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'NOUN', 'text': 'सारांश', 'id': 14, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 16, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'निर्माता', 'id': 7, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'NOUN', 'text': 'आउटलाइन', 'id': 21, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 23, 'deprel': 'conj', 'head': 16}}, {'subject': {'upos': 'PRON', 'text': 'जो', 'id': 26, 'deprel': 'nsubj', 'head': 35}, 'object': {'upos': 'NOUN', 'text': 'कहानी', 'id': 28, 'deprel': 'obj', 'head': 35}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 35, 'deprel': 'acl:relcl', 'head': 21}}]","['SOV', 'SOV', 'SOV']"
115,ऑस्ट्रेलिया द्वारा किए गए प्रयोग ने साबित किया कि बुलबुले पानी के घनत्व में कमी लाकर एक स्केल माडल जहाज को डुबो सकते हैं।,2,"[{'subject': {'upos': 'NOUN', 'text': 'प्रयोग', 'id': 5, 'deprel': 'nsubj', 'head': 8}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 8, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'डुबो', 'id': 22, 'deprel': 'obj', 'head': 8}}, {'subject': {'upos': 'NOUN', 'text': 'बुलबुले', 'id': 10, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'जहाज', 'id': 20, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'डुबो', 'id': 22, 'deprel': 'obj', 'head': 8}}]","['SVO', 'SOV']"
120,"लालसा के साथ मध्ययुगीन चर्च के रहनुमाओं ने व्यापक दृष्टिकोण अपनाया था, जिसमें उन्होंने लालच में फंसने के छः तरीकों की एक सूची तैयार की थी।",2,"[{'subject': {'upos': 'NOUN', 'text': 'रहनुमाओं', 'id': 7, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'NOUN', 'text': 'दृष्टिकोण', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'अपनाया', 'id': 11, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 15, 'deprel': 'nsubj', 'head': 26}, 'object': {'upos': 'NOUN', 'text': 'सूची', 'id': 24, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'की', 'id': 26, 'deprel': 'acl:relcl', 'head': 10}}]","['SOV', 'SOV']"
236,"आत्महत्या के कई कारण हो सकते हैं, लेकिन कुछ प्रमुख कारणों में से एक है कि किसी व्यक्ति के पास अपने जीवन में संतुष्टि नहीं है और वह अपने जीवन की स्थिति से निराश है। इसके अलावा, कुछ लोगों के लिए आत्महत्या करने का कारण है कि वह अपने जीवन में कुछ नहीं कर पा रहे हैं और वह अपने जीवन की स्थिति से निराश है। इसके अलावा, कुछ लोगों के लिए आत्महत्या करने का कारण है कि वह अपने जीवन में कुछ नहीं कर पा रहे हैं और वह अपने जीवन की स्थिति से निराश है।",2,"[{'subject': {'upos': 'PRON', 'text': 'वह', 'id': 14, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'PRON', 'text': 'कुछ', 'id': 18, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 20, 'deprel': 'acl', 'head': 11}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 25, 'deprel': 'nsubj', 'head': 32}, 'object': {'upos': 'ADJ', 'text': 'निराश', 'id': 31, 'deprel': 'obj', 'head': 32}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 32, 'deprel': 'conj', 'head': 20}}]","['SOV', 'SOV']"
338,बौद्ध धर्म का मानना है कि गर्भाधान को रोकना स्वीकार्य है लेकिन गर्भावस्था को समाप्त करना स्वीकार्य नहीं है।,2,"[{'subject': {'upos': 'VERB', 'text': 'रोकना', 'id': 9, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 11, 'deprel': 'ccomp', 'head': 4}}, {'subject': {'upos': 'VERB', 'text': 'करना', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 19, 'deprel': 'conj', 'head': 11}}]","['SOV', 'SOV']"
488,सेलेनियम वेबड्राइवर आदेशों को स्वीकार करता है और एक ब्राउज़र के लिए उन्हें भेजता है।,2,"[{'subject': {'upos': 'PROPN', 'text': 'सेलेनियम', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'NOUN', 'text': 'आदेशों', 'id': 3, 'deprel': 'obj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 6, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'सेलेनियम', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'PRON', 'text': 'उन्हें', 'id': 13, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'भेजता', 'id': 14, 'deprel': 'conj', 'head': 6}}]","['SOV', 'SOV']"
