text_order_id,sentence,num_triplets,triplets,abbreviation
1560,"Ein Sakuru bezeichnet eine Gruppe, die sich oft aus einer Person besteht, und die sich als Dōjin-Gruppe bezeichnet, die von nichtprofessionellen Zeichnern im Selbstverlag herausgegebene Mangas oder Fan-Art produziert.",4,"[{'subject': {'upos': 'NOUN', 'text': 'Sakuru', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Gruppe', 'id': 5, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 7, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 8, 'deprel': 'obj', 'head': 13}, 'verb': {'upos': 'VERB', 'text': 'besteht', 'id': 13, 'deprel': 'acl', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 16, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 17, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 22, 'deprel': 'conj', 'head': 13}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 24, 'deprel': 'nsubj', 'head': 37}, 'object': {'upos': 'NOUN', 'text': 'Mangas', 'id': 32, 'deprel': 'obj', 'head': 37}, 'verb': {'upos': 'VERB', 'text': 'produziert', 'id': 37, 'deprel': 'acl', 'head': 19}}]","['SVO', 'SOV', 'SOV', 'SOV']"
612,"Pascha löst seine missliche Lage, indem er an seinen besten Mann Jackie schreibt, der Shrikanth Mathur warnet und subsequently Radha entführt, um Shrikanth zu drängen, Jackie zur Aufgabe zu bringen.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Pascha', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'löst', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lage', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'PROPN', 'text': 'Shrikanth', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'warnet', 'id': 19, 'deprel': 'acl', 'head': 12}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'PROPN', 'text': 'subsequently', 'id': 21, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'entführt', 'id': 23, 'deprel': 'conj', 'head': 19}}]","['SVO', 'SOV', 'SOV']"
559,"Obwohl sie sich hauptsächlich durch ihre eigenen Sprachen definieren, sprechen die Gambier oft mehrere Sprachen fließend oder können sich zumindest verständigen.",3,"[{'subject': {'upos': 'PRON', 'text': 'sie', 'id': 2, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 3, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'definieren', 'id': 9, 'deprel': 'advcl', 'head': 11}}, {'verb': {'upos': 'VERB', 'text': 'sprechen', 'id': 11, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PROPN', 'text': 'Gambier', 'id': 13, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'NOUN', 'text': 'Sprachen', 'id': 16, 'deprel': 'obj', 'head': 11}}, {'subject': {'upos': 'PROPN', 'text': 'Gambier', 'id': 13, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 20, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'verständigen', 'id': 22, 'deprel': 'conj', 'head': 11}}]","['SOV', 'VSO', 'SOV']"
63,"Armenien behielt einen beachtlichen Grad an Autonomie und bewahrte seine einheimischen Herrscher, was es ermöglichte, seine Selbstverwaltung unter der Seleukiden-Herrschaft zu behalten.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'behielt', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Grad', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bewahrte', 'id': 9, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Herrscher', 'id': 12, 'deprel': 'obj', 'head': 9}}, {'subject': {'upos': 'PRON', 'text': 'was', 'id': 14, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'PRON', 'text': 'es', 'id': 15, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'ermöglichte', 'id': 16, 'deprel': 'acl', 'head': 12}}]","['SVO', 'SVO', 'SOV']"
235,"Xu Fu ist in See gestochen, aber niemals zurückgekehrt, nachdem Qin Shi Huang seine Hilfe mit Bogenschützen anbot, die eine riesige Meereskratur töten sollten.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Qin', 'id': 13, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Hilfe', 'id': 17, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'anbot', 'id': 20, 'deprel': 'advcl', 'head': 6}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 22, 'deprel': 'nsubj', 'head': 26}, 'object': {'upos': 'NOUN', 'text': 'Meereskratur', 'id': 25, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'töten', 'id': 26, 'deprel': 'acl', 'head': 19}}]","['SOV', 'SOV']"
1113,"Viv Richards erzielte im Laufe seiner Karriere 8540 Runs in Tests und 6721 Runs in ODIs, was insgesamt 15261 Runs beträgt.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Viv', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'erzielte', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Runs', 'id': 10, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'was', 'id': 19, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'NOUN', 'text': 'Runs', 'id': 22, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'beträgt', 'id': 23, 'deprel': 'acl', 'head': 10}}]","['SVO', 'SOV']"
1557,"Supply-Chain-Management betont die Lieferkette, während Demand-Chain-Management sich mehr auf die Nachfrageseite konzentriert und versucht, die KundenNachfrage effizienter zu erfüllen.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Management', 'id': 5, 'deprel': 'nsubj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'betont', 'id': 6, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lieferkette', 'id': 8, 'deprel': 'obj', 'head': 6}}, {'subject': {'upos': 'PROPN', 'text': 'Demand', 'id': 11, 'deprel': 'nsubj', 'head': 21}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 16, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'konzentriert', 'id': 21, 'deprel': 'advcl', 'head': 6}}]","['SVO', 'SOV']"
1074,"Stallman startete eine Kampagne gegen proprietäre Software, die Nutzern Freiheitsrechte entzieht.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Stallman', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'startete', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Kampagne', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 9, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'Freiheitsrechte', 'id': 11, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'entzieht', 'id': 12, 'deprel': 'acl', 'head': 7}}]","['SVO', 'SOV']"
1853,Sie betreiben Photosynthese und enthalten grüne Farbstoffe im Zytoplasma.,2,"[{'subject': {'upos': 'PRON', 'text': 'Sie', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'betreiben', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Photosynthese', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'Sie', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'enthalten', 'id': 5, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Farbstoffe', 'id': 7, 'deprel': 'obj', 'head': 5}}]","['SVO', 'SVO']"
1238,"Seine Errungenschaften umfassten eine neuartige Methode zur Berechnung der vermutlichen Größe eines Polymers in Lösung (Flory-Huggins-Theorie) sowie die Herleitung des Flory-Exponenten, der die Bewegung von Polymeren in Lösungen charakterisiert.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Errungenschaften', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'umfassten', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Methode', 'id': 6, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'der', 'id': 32, 'deprel': 'nsubj', 'head': 39}, 'object': {'upos': 'NOUN', 'text': 'Bewegung', 'id': 34, 'deprel': 'obj', 'head': 39}, 'verb': {'upos': 'VERB', 'text': 'charakterisiert', 'id': 39, 'deprel': 'acl', 'head': 28}}]","['SVO', 'SOV']"
1558,"SCM konzentriert sich auf die Effizienz der Lieferkette, während DCM die Beziehungen zwischen Lieferanten und Kunden optimiert, um die KundenNachfrage besser zu erfüllen und zu den geringstmöglichen Kosten.",2,"[{'subject': {'upos': 'PROPN', 'text': 'SCM', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'konzentriert', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'DCM', 'id': 11, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'Beziehungen', 'id': 13, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'optimiert', 'id': 18, 'deprel': 'advcl', 'head': 2}}]","['SVO', 'SOV']"
1266,"Nach dem Hochschulabschluss bot Ebner Übersetzungsdienstleistungen an, leitete Sprachkurse und arbeitete in IT-Ausbildungsprojekten.",2,"[{'verb': {'upos': 'VERB', 'text': 'bot', 'id': 4, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PROPN', 'text': 'Ebner', 'id': 5, 'deprel': 'nsubj', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'Übersetzungsdienstleistungen', 'id': 6, 'deprel': 'obj', 'head': 4}}, {'subject': {'upos': 'PROPN', 'text': 'Ebner', 'id': 5, 'deprel': 'nsubj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'leitete', 'id': 9, 'deprel': 'conj', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'Sprachkurse', 'id': 10, 'deprel': 'obj', 'head': 9}}]","['VSO', 'SVO']"
724,"Marokko entgleiste die Konferenz in 2005, da es sich weigerte teilzunehmen.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Marokko', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'entgleiste', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Konferenz', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'es', 'id': 9, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 10, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'teilzunehmen', 'id': 12, 'deprel': 'advcl', 'head': 2}}]","['SVO', 'SOV']"
874,"Maneka Gandhi besuchte die Lawrence School und anschließend das Lady Shri Ram College, wo sie 1973 einen Schönheitswettbewerb gewann.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Maneka', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'besuchte', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Lawrence', 'id': 5, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 16, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Schönheitswettbewerb', 'id': 19, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'gewann', 'id': 20, 'deprel': 'acl', 'head': 10}}]","['SVO', 'SOV']"
870,"Khan gestand 1994, dass er ""gelegentlich"" bei Test Matches die Seite des Balls aufgeraut und die Naht angehoben habe.",2,"[{'subject': {'upos': 'PRON', 'text': 'er', 'id': 6, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Seite', 'id': 14, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'aufgeraut', 'id': 17, 'deprel': 'ccomp', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 6, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Naht', 'id': 20, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'angehoben', 'id': 21, 'deprel': 'conj', 'head': 17}}]","['SOV', 'SOV']"
439,"Kang aktivierte Cerberus, aber dies wurde durch eine Hackerin aus Bannings Team und Mike Trumbull korrigiert, indem sie Cerberus deaktivierten.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Kang', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'aktivierte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Cerberus', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 20, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'PROPN', 'text': 'Cerberus', 'id': 21, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'deaktivierten', 'id': 22, 'deprel': 'advcl', 'head': 17}}]","['SVO', 'SOV']"
1741,"Jeder Staat in Australien hat 12 Senatoren, während die beiden nördlichen Territorien jeweils 2 Senatoren haben.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Staat', 'id': 2, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'hat', 'id': 5, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Senatoren', 'id': 7, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'NOUN', 'text': 'Territorien', 'id': 13, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Senatoren', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'haben', 'id': 17, 'deprel': 'advcl', 'head': 5}}]","['SVO', 'SOV']"
1243,"Im Jahr 1972 hatte München etwa 1.338.924 Einwohner, was einen Höhepunkt darstellte.",2,"[{'verb': {'upos': 'VERB', 'text': 'hatte', 'id': 5, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PROPN', 'text': 'München', 'id': 6, 'deprel': 'nsubj', 'head': 5}, 'object': {'upos': 'NOUN', 'text': 'Einwohner', 'id': 9, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'was', 'id': 11, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'Höhepunkt', 'id': 13, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'darstellte', 'id': 14, 'deprel': 'acl', 'head': 9}}]","['VSO', 'SOV']"
1353,"Ihre Eltern trennten sich, als sie ein Teenager war.ngenommen wird, dass sie sich während ihrer Teenagerjahre getrennt haben, genauer gesagt, als sie ein Teenager war.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Eltern', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'trennten', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 4, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 14, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 15, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'getrennt', 'id': 19, 'deprel': 'ccomp', 'head': 10}}]","['SVO', 'SOV']"
1963,"Gruppen Aufständischer durchstreiften die Stadt am nächsten Tag, und Soldaten und Arbeiter brachten öffentliche und militärische Einrichtungen unter ihre Kontrolle.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Gruppen', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'durchstreiften', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Stadt', 'id': 5, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'NOUN', 'text': 'Soldaten', 'id': 12, 'deprel': 'nsubj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'brachten', 'id': 15, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'NOUN', 'text': 'Einrichtungen', 'id': 19, 'deprel': 'obj', 'head': 15}}]","['SVO', 'SVO']"
713,"Es überreichte Bücher, Sportgeräte und andere nützliche Sachen in Strafkolonien und gründete Filialen von Statschkom in Gefängnissen.",2,"[{'subject': {'upos': 'PRON', 'text': 'Es', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'überreichte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Bücher', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'Es', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'gründete', 'id': 13, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Filialen', 'id': 14, 'deprel': 'obj', 'head': 13}}]","['SVO', 'SVO']"
1484,"Elisabeth erhielt die Unterstützung von Mary Stuart, als diese aus Schottland floh und sich an Elisabeth wandte, um Unterstützung gegen die rebellierenden schottischen Adligen zu erhalten.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Elisabeth', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'erhielt', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Unterstützung', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'DET', 'text': 'diese', 'id': 10, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 15, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'wandte', 'id': 18, 'deprel': 'conj', 'head': 13}}]","['SVO', 'SOV']"
1082,"Ein Spieler kann Boni in Form von „Schiffsladungen“ aus der Heimatstadt empfangen, sobald er Erfahrungspunkte sammelt.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Spieler', 'id': 2, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'PROPN', 'text': 'Boni', 'id': 4, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'empfangen', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 17, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'Erfahrungspunkte', 'id': 18, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'sammelt', 'id': 19, 'deprel': 'advcl', 'head': 14}}]","['SOV', 'SOV']"
1256,"Dimebag Darrells Anfrage, in die Band aufgenommen zu werden, wurde abgewiesen, weil die Band bereits einen Schlagzeuger namens Nick Menza angeheuert hatte und Dimebag die Bedingung stellen wollte, dass sein Bruder Vinnie Paul Abbott ebenfalls in die Band komme.",2,"[{'subject': {'upos': 'NOUN', 'text': 'Band', 'id': 17, 'deprel': 'nsubj', 'head': 24}, 'object': {'upos': 'NOUN', 'text': 'Schlagzeuger', 'id': 20, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'angeheuert', 'id': 24, 'deprel': 'advcl', 'head': 13}}, {'subject': {'upos': 'PROPN', 'text': 'Dimebag', 'id': 27, 'deprel': 'nsubj', 'head': 30}, 'object': {'upos': 'NOUN', 'text': 'Bedingung', 'id': 29, 'deprel': 'obj', 'head': 30}, 'verb': {'upos': 'VERB', 'text': 'stellen', 'id': 30, 'deprel': 'conj', 'head': 24}}]","['SOV', 'SOV']"
