text_order_id,sentence,num_triplets,triplets,abbreviation
449,यरूशलम था। अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्प ने कहा था कि वह यरूशलम को इजरायल की राजधानी मानते हैं और तेल अवीव से अमेरिकी दूतावास को यरूशलम स्थांतरण करने की प्रक्रिया शुरू करेंगे।,3,"[{'subject': {'upos': 'PROPN', 'text': 'ट्रम्प', 'id': 4, 'deprel': 'nsubj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'कहा', 'id': 6, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'मानते', 'id': 15, 'deprel': 'obj', 'head': 6}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 9, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PROPN', 'text': 'यरूशलम', 'id': 10, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'मानते', 'id': 15, 'deprel': 'obj', 'head': 6}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 9, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'NOUN', 'text': 'प्रक्रिया', 'id': 28, 'deprel': 'obj', 'head': 30}, 'verb': {'upos': 'VERB', 'text': 'करेंगे', 'id': 30, 'deprel': 'conj', 'head': 15}}]","['SVO', 'SOV', 'SOV']"
502,"टैबनैबिंग नामक विधि उपयोगकर्ता को बैंक की वैध वेबसाइट पर अग्रेषित करती है और फिर पृष्ठ के शीर्ष पर क्रेडेंशियल्स का अनुरोध करने के लिए एक पॉपअप विंडो को स्थापित करती है, जिससे उपयोगकर्ता को लगता है कि बैंक इस संवेदनशील जानकारी का अनुरोध कर रहे हैं।",3,"[{'subject': {'upos': 'NOUN', 'text': 'विधि', 'id': 3, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'उपयोगकर्ता', 'id': 4, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'करती', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'विधि', 'id': 3, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'विंडो', 'id': 28, 'deprel': 'obj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'करती', 'id': 31, 'deprel': 'conj', 'head': 12}}, {'subject': {'upos': 'NOUN', 'text': 'उपयोगकर्ता', 'id': 35, 'deprel': 'nsubj', 'head': 37}, 'verb': {'upos': 'VERB', 'text': 'लगता', 'id': 37, 'deprel': 'acl:relcl', 'head': 28}, 'object': {'upos': 'VERB', 'text': 'कर', 'id': 46, 'deprel': 'obj', 'head': 37}}]","['SOV', 'SOV', 'SVO']"
664,"पॉलिन ने राज्य कर्मचारियों के लिए दैनिक भत्ते के रूप में $58 का दावा करने की अनुमति थी, जिसे उन्होंने ग्रहण किया (कुल $16,951) और होटल की प्रतिपूर्ति के लिए दावा करने की भी अनुमति थी, लेकिन उन्होंने ऐसा नहीं किया और इसके बजाय उन्होंने वासिला स्थित अपने घर तक जाने के लिए लगभग 50 मील गाड़ी चलाकर जाने का विकल्प चुना।",3,"[{'object': {'upos': 'PRON', 'text': 'जिसे', 'id': 20, 'deprel': 'obj', 'head': 23}, 'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 21, 'deprel': 'nsubj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 23, 'deprel': 'advcl', 'head': 15}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 42, 'deprel': 'nsubj', 'head': 45}, 'object': {'upos': 'PRON', 'text': 'ऐसा', 'id': 43, 'deprel': 'obj', 'head': 45}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 45, 'deprel': 'conj', 'head': 38}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 49, 'deprel': 'nsubj', 'head': 66}, 'object': {'upos': 'NOUN', 'text': 'विकल्प', 'id': 65, 'deprel': 'obj', 'head': 66}, 'verb': {'upos': 'VERB', 'text': 'चुना', 'id': 66, 'deprel': 'conj', 'head': 45}}]","['OSV', 'SOV', 'SOV']"
2,"ग्रूम झील ने विमान के लिए आदर्श परीक्षण पट्टी का काम किया, जहां से वे जटिल विमान परीक्षण को संचालित कर सकते थे।",2,"[{'subject': {'upos': 'PROPN', 'text': 'झील', 'id': 2, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'काम', 'id': 11, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 16, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'परीक्षण', 'id': 19, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 22, 'deprel': 'acl:relcl', 'head': 9}}]","['SOV', 'SOV']"
59,कैल्शियम के धारण में वृद्धि हुई है। कैल्शियम हड्डी के खनिजीकरण को बढ़ाता है और उसको मजबूत बनाता है।,2,"[{'subject': {'upos': 'NOUN', 'text': 'कैल्शियम', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'NOUN', 'text': 'खनिजीकरण', 'id': 4, 'deprel': 'obj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'बढ़ाता', 'id': 6, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'कैल्शियम', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'PRON', 'text': 'उसको', 'id': 9, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'बनाता', 'id': 11, 'deprel': 'conj', 'head': 6}}]","['SOV', 'SOV']"
115,ऑस्ट्रेलिया द्वारा किए गए प्रयोग ने साबित किया कि बुलबुले पानी के घनत्व में कमी लाकर एक स्केल माडल जहाज को डुबो सकते हैं।,2,"[{'subject': {'upos': 'NOUN', 'text': 'प्रयोग', 'id': 5, 'deprel': 'nsubj', 'head': 8}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 8, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'डुबो', 'id': 22, 'deprel': 'obj', 'head': 8}}, {'subject': {'upos': 'NOUN', 'text': 'बुलबुले', 'id': 10, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'जहाज', 'id': 20, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'डुबो', 'id': 22, 'deprel': 'obj', 'head': 8}}]","['SVO', 'SOV']"
140,"एंटीबॉडी (प्रतिपिंड) में ""उत्कृष्ट"" उत्प्रेरक प्रणाली होती है, जिसके द्वारा जीवाणु को मारने के लिए फैगोसाइट (phagocytes) को आकर्षित किया जाता है या सीधे मारने में प्रतिपिंड (एंटीबॉडी) की सहायता के लिए झिल्लीनुमा आक्रामक समूह बना लेते हैं।",2,"[{'subject': {'upos': 'PRON', 'text': 'जिसके', 'id': 14, 'deprel': 'nsubj:pass', 'head': 27}, 'object': {'upos': 'NOUN', 'text': 'फैगोसाइट', 'id': 21, 'deprel': 'obj', 'head': 27}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 27, 'deprel': 'acl:relcl', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'जिसके', 'id': 14, 'deprel': 'nsubj:pass', 'head': 27}, 'object': {'upos': 'NOUN', 'text': 'समूह', 'id': 44, 'deprel': 'obj', 'head': 45}, 'verb': {'upos': 'VERB', 'text': 'बना', 'id': 45, 'deprel': 'conj', 'head': 27}}]","['SOV', 'SOV']"
213,महाथिर ने 1956 में शादी नहीं की थी। वह सरकारी सेवा में डॉक्टर के रूप में कार्य किया था और उसके बाद अलोर सितार लौट आए और अपनी खुद की चिकित्सा अभ्यास स्थापित किया।,2,"[{'subject': {'upos': 'PRON', 'text': 'वह', 'id': 1, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'कार्य', 'id': 9, 'deprel': 'obj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 10, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 1, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'अभ्यास', 'id': 24, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 26, 'deprel': 'conj', 'head': 17}}]","['SOV', 'SOV']"
248,"हिंदू धर्म में आत्महत्या से घृणा की जाती है और समकालीन हिंदू समाज में इसे किसी अन्य की हत्या के तुल्य पाप समझा जाता है। हिन्दू धर्मग्रंथ बताते हैं कि वह जो आत्महत्या करता है, आत्माओं की दुनिया में चला जाता है और वहाँ वह तब तक रहता है जब तक कि उसका धरती पर जीवन तय था, यदि वह आत्महत्या न करता।",2,"[{'subject': {'upos': 'NOUN', 'text': 'धर्मग्रंथ', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'बताते', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चला', 'id': 16, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 6, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PRON', 'text': 'जो', 'id': 7, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 9, 'deprel': 'acl:relcl', 'head': 12}}]","['SVO', 'SOV']"
338,बौद्ध धर्म का मानना है कि गर्भाधान को रोकना स्वीकार्य है लेकिन गर्भावस्था को समाप्त करना स्वीकार्य नहीं है।,2,"[{'subject': {'upos': 'VERB', 'text': 'रोकना', 'id': 9, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 11, 'deprel': 'ccomp', 'head': 4}}, {'subject': {'upos': 'VERB', 'text': 'करना', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 19, 'deprel': 'conj', 'head': 11}}]","['SOV', 'SOV']"
