N,Dataset,Setting,ContextsAmount,Model,Position,CorrectScore,WrongScore,NoScores
1,Squadv2 (en),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",TOP,0.907,0.877,0.913
1,Squadv2 (en),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",MIDDLE,0.922,0.887,0.921
1,Squadv2 (en),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",BOTTOM,0.953,0.929,0.950
2,MTSquad (ru),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",TOP,0.804,0.791,0.841
2,MTSquad (ru),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",MIDDLE,0.834,0.829,0.843
2,MTSquad (ru),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",BOTTOM,0.884,0.875,0.881
3,MLQA (de),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",TOP,0.737,0.732,0.720
3,MLQA (de),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",MIDDLE,0.735,0.708,0.724
3,MLQA (de),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",BOTTOM,0.799,0.772,0.777
4,MLQA (hi),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",TOP,,,
4,MLQA (hi),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",MIDDLE,,,
4,MLQA (hi),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",BOTTOM,,,
5,MLQA (vi),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",TOP,0.284,0.277,0.309
5,MLQA (vi),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",MIDDLE,0.317,0.314,0.330
5,MLQA (vi),"LLM as a judge (2000)",5,"DeepSeek 7B Chat",BOTTOM,0.407,0.397,0.415
1,Squadv2 (en),"LLM as a judge (2000)",5,"Gemma 7B",TOP,0.815,0.683,0.831
1,Squadv2 (en),"LLM as a judge (2000)",5,"Gemma 7B",MIDDLE,0.849,0.614,0.832
1,Squadv2 (en),"LLM as a judge (2000)",5,"Gemma 7B",BOTTOM,0.782,0.534,0.815
2,MTSquad (ru),"LLM as a judge (2000)",5,"Gemma 7B",TOP,0.775,0.655,0.797
2,MTSquad (ru),"LLM as a judge (2000)",5,"Gemma 7B",MIDDLE,0.777,0.701,0.819
2,MTSquad (ru),"LLM as a judge (2000)",5,"Gemma 7B",BOTTOM,0.782,0.707,0.824
3,MLQA (de),"LLM as a judge (2000)",5,"Gemma 7B",TOP,0.477,0.324,0.524
3,MLQA (de),"LLM as a judge (2000)",5,"Gemma 7B",MIDDLE,0.508,0.289,0.486
3,MLQA (de),"LLM as a judge (2000)",5,"Gemma 7B",BOTTOM,0.432,0.244,0.441
4,MLQA (hi),"LLM as a judge (2000)",5,"Gemma 7B",TOP,0.431,0.372,0.229
4,MLQA (hi),"LLM as a judge (2000)",5,"Gemma 7B",MIDDLE,0.402,0.334,0.237
