text_order_id,sentence,num_triplets,triplets,abbreviation
502,"टैबनैबिंग नामक विधि उपयोगकर्ता को बैंक की वैध वेबसाइट पर अग्रेषित करती है और फिर पृष्ठ के शीर्ष पर क्रेडेंशियल्स का अनुरोध करने के लिए एक पॉपअप विंडो को स्थापित करती है, जिससे उपयोगकर्ता को लगता है कि बैंक इस संवेदनशील जानकारी का अनुरोध कर रहे हैं।",3,"[{'subject': {'upos': 'NOUN', 'text': 'विधि', 'id': 3, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'उपयोगकर्ता', 'id': 4, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'करती', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'विधि', 'id': 3, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'विंडो', 'id': 28, 'deprel': 'obj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'करती', 'id': 31, 'deprel': 'conj', 'head': 12}}, {'subject': {'upos': 'NOUN', 'text': 'उपयोगकर्ता', 'id': 35, 'deprel': 'nsubj', 'head': 37}, 'verb': {'upos': 'VERB', 'text': 'लगता', 'id': 37, 'deprel': 'acl:relcl', 'head': 28}, 'object': {'upos': 'VERB', 'text': 'कर', 'id': 46, 'deprel': 'obj', 'head': 37}}]","['SOV', 'SOV', 'SVO']"
734,"कांग संयुक्त राज्य अमेरिका के खिलाफ उपयोग करने के लिए कोड हासिल करना चाहता है, जिससे वह अमेरिका के सभी आणविक हथियारों के आयुध भंडारो को विस्फोट से तबाह कर देगा और अपने परिवार की मौत का बदला पूरा कर लेगा।",3,"[{'subject': {'upos': 'PROPN', 'text': 'कांग', 'id': 1, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'VERB', 'text': 'करना', 'id': 13, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'चाहता', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 18, 'deprel': 'nsubj', 'head': 31}, 'object': {'upos': 'NOUN', 'text': 'भंडारो', 'id': 26, 'deprel': 'obj', 'head': 31}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 31, 'deprel': 'acl:relcl', 'head': 11}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 18, 'deprel': 'nsubj', 'head': 31}, 'object': {'upos': 'NOUN', 'text': 'बदला', 'id': 39, 'deprel': 'obj', 'head': 41}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 41, 'deprel': 'conj', 'head': 31}}]","['SOV', 'SOV', 'SOV']"
742,बैंड ने एल्बम को एक डिब्बे के सेट के रूप में रिलीज़ नहीं किया क्योंकि उन्होंने वह योजना रद्द कर दी और सर्वश्रेष्ठ गीतों का एल्बम जारी किया।,3,"[{'subject': {'upos': 'NOUN', 'text': 'बैंड', 'id': 1, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'एल्बम', 'id': 3, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 16, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'योजना', 'id': 18, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 20, 'deprel': 'advcl', 'head': 14}}, {'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 16, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'एल्बम', 'id': 26, 'deprel': 'obj', 'head': 28}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 28, 'deprel': 'conj', 'head': 20}}]","['SOV', 'SOV', 'SOV']"
2,"झील की सतह ने एक आदर्श पट्टी का काम किया, जहां से वे जटिल विमान परीक्षण को संचालित कर सकते थे।",2,"[{'subject': {'upos': 'NOUN', 'text': 'सतह', 'id': 3, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'NOUN', 'text': 'काम', 'id': 9, 'deprel': 'obj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 10, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 14, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'परीक्षण', 'id': 17, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 20, 'deprel': 'acl:relcl', 'head': 7}}]","['SOV', 'SOV']"
115,ऑस्ट्रेलिया द्वारा किए गए प्रयोगों ने साबित किया है कि बुलबुले पानी के घनत्व में कमी लाकर एक स्केल माडल जहाज को डुबो सकते हैं।,2,"[{'subject': {'upos': 'NOUN', 'text': 'प्रयोगों', 'id': 5, 'deprel': 'nsubj', 'head': 8}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 8, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'डुबो', 'id': 23, 'deprel': 'obj', 'head': 8}}, {'subject': {'upos': 'NOUN', 'text': 'बुलबुले', 'id': 11, 'deprel': 'nsubj', 'head': 23}, 'object': {'upos': 'NOUN', 'text': 'जहाज', 'id': 21, 'deprel': 'obj', 'head': 23}, 'verb': {'upos': 'VERB', 'text': 'डुबो', 'id': 23, 'deprel': 'obj', 'head': 8}}]","['SVO', 'SOV']"
248,"हिंदू शास्त्र में आत्महत्या को घृणा की जाती है और समकालीन हिंदू समाज में इसे किसी अन्य की हत्या के तुल्य पाप समझा जाता है। हिन्दू धर्मग्रंथ बताते हैं कि वह जो आत्महत्या करता है, आत्माओं की दुनिया में चला जाता है और वहाँ वह तब तक रहता है जब तक कि उसका धरती पर जीवन तय था, यदि वह आत्महत्या न करता।",2,"[{'subject': {'upos': 'NOUN', 'text': 'धर्मग्रंथ', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'बताते', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चला', 'id': 16, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 6, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PRON', 'text': 'जो', 'id': 7, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 9, 'deprel': 'acl:relcl', 'head': 12}}]","['SVO', 'SOV']"
309,"हिंदी में उत्तर: प्रभाव कम करने वाला कुछ दवाएं हैं, जैसे रिफैम्पिसिन, बार्बिट्युरेट्स, फिनाइटोइन, कार्बामाजेपाइन, एम्पीसिलीन और डॉक्सीसाइक्लिन। इन दवाओं का प्रभाव गर्भावस्था की संभावना पैदा कर सकता है और गर्भनिरोधक के प्रभाव को कम कर सकता है।",2,"[{'subject': {'upos': 'NOUN', 'text': 'प्रभाव', 'id': 4, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'NOUN', 'text': 'संभावना', 'id': 7, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 9, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'प्रभाव', 'id': 4, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'NOUN', 'text': 'प्रभाव', 'id': 15, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 18, 'deprel': 'conj', 'head': 9}}]","['SOV', 'SOV']"
338,बौद्ध धर्म का मानना है कि गर्भाधान को रोकना स्वीकार्य है लेकिन गर्भावस्था को समाप्त करना स्वीकार्य नहीं है।,2,"[{'subject': {'upos': 'VERB', 'text': 'रोकना', 'id': 9, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 11, 'deprel': 'ccomp', 'head': 4}}, {'subject': {'upos': 'VERB', 'text': 'करना', 'id': 16, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 19, 'deprel': 'conj', 'head': 11}}]","['SOV', 'SOV']"
501,"इन हमलों को समस्याग्रस्त माना जाता है क्योंकि वे उपयोगकर्ता के सुरक्षित लॉग-इन विवरणों को चुरा लेते हैं और उन्हें नकली साइट पर दर्ज कर देते हैं, जिससे उपयोगकर्ता के बैंक या सेवा के स्वयं के वेब पेज पर साइन इन करने के निर्देश देते हैं, जिसके परिणामस्वरूप उपयोगकर्ता के संसाधनों का दुरुपयोग हो सकता है।",2,"[{'subject': {'upos': 'PRON', 'text': 'वे', 'id': 9, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'NOUN', 'text': 'विवरणों', 'id': 14, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'चुरा', 'id': 16, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 9, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'PRON', 'text': 'उन्हें', 'id': 20, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 25, 'deprel': 'conj', 'head': 16}}]","['SOV', 'SOV']"
704,लिंकिन पार्क ने मेटियोरा एल्बम की सफलता के बाद अपना दूसरा एल्बम 25 मार्च 2003 को प्रवर्तित किया और उसने तत्काल दुनिया भर में मान्यता अर्जित की।,2,"[{'subject': {'upos': 'PROPN', 'text': 'पार्क', 'id': 2, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'NOUN', 'text': 'एल्बम', 'id': 12, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 18, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'उसने', 'id': 20, 'deprel': 'nsubj', 'head': 27}, 'object': {'upos': 'NOUN', 'text': 'मान्यता', 'id': 25, 'deprel': 'obj', 'head': 27}, 'verb': {'upos': 'VERB', 'text': 'की', 'id': 27, 'deprel': 'conj', 'head': 18}}]","['SOV', 'SOV']"
