context,scaled_dependencies
"После своего образования в 1600 году Компания организовала собственное лобби в английском парламенте. Она оказалась под давлением предпринимателей, собиравшихся открыть собственные торговые фирмы в Индии. В 1694 была предпринята дерегуляция, однако, вскоре отменённая. В 1698 основана параллельная компания ( Английская Компания, Торгующая с Ост-Индиями ). После ряда разногласий, и в Англии, и в Индии, в 1708 обе компании слились. Названием объединённой компании стало Объединённая компания купцов Англии, торгующих с Ост Индиями . В обмен на продление торговых привилегий, объединённая компания выплатила казначейству 3 млн 200 тыс. фунтов стерлингов.",0.03
"Для Манитобы характерен резко континентальный климат, температура и среднегодовое количество осадков, в целом, сокращаются с юга на север, а осадки уменьшаются с востока на запад[12]. Манитоба далека от смягчающего влияния обоих горных хребтов: Кордильер и Аппалачей и крупных водоёмов, а также из-за в основном равнинного пейзажа, она открыта для холодных масс арктического воздуха высокого давления с северо-запада в течение января и февраля. В летнее время воздушные массы часто выходят из южной части Соединённых Штатов, а тёплый влажный воздух идёт к северу от Мексиканского залива[13].",0.08
"Несмотря на недомогание, учёный не отказался от поездки. В экспедиции участвовали: заведующий кафедрой минералогии Петербургского университета профессор П. А. Земятченский, известный специалист по русским железным рудам; помощник начальника научно-технической лаборатории Морского министерства — химик С. П. Вуколов; К. Н. Егоров — сотрудник Главной палаты мер и весов. Последним двум Д. И. Менделеев поручил осмотр многих уральских заводов и производство полных магнитных измерений для выявления аномалий, говорящих о наличии железной руды. К. Н. Егорову также поручалось изучение Экибастузского месторождения каменного угля, по мнению Д. И. Менделеева — очень важного для уральской металлургии. Сопровождали экспедицию представитель Министерства госимуществ Н. А. Саларев и секретарь Постоянной совещательной конторы железнозаводчиков В. В. Мамонтов. Личные маршруты участников Уральской экспедиции определялись задачами.",0.05
"СГС отличается от СИ не только выбором конкретных единиц измерения. Из-за того, что в СИ были дополнительно введены основные единицы для электромагнитных физических величин, которых не было в СГС, некоторые единицы имеют другие размерности. Из-за этого некоторые физические законы в этих системах записываются по-разному (например, закон Кулона). Отличие заключается в коэффициентах, большинство из которых — размерные. Поэтому, если в формулы, записанные в СГС, просто подставить единицы измерения СИ, то будут получены неправильные результаты. Это же относится и к разным разновидностям СГС — в СГСЭ, СГСМ и Гауссовой системе единиц одни и те же формулы могут записываться по-разному.",0.05
"После перерыва в несколько месяцев Леопольд решил продолжить концертную деятельность с детьми. Целью новой поездки был выбран Париж — один из крупнейших музыкальных центров Европы того времени. Покровитель Леопольда, князь-архиепископ зальцбургский Сигизмунд фон Шраттенбах поддержал амбициозный проект своего подчинённого, и дал ему отпуск, но он не ожидал, что Леопольд будет отсутствовать больше трёх лет. Семья выехала из Зальцбурга 9 июля 1763 года. Посетив по пути множество городов и княжеских дворов Германии, в которых Моцарты также давали концерты, только 18 ноября того же года они прибыли в Париж. Слава о детях-виртуозах быстро распространялась, и, благодаря этому, желание знатных особ послушать игру Вольфганга было велико.",0.05
"В 1935 году Уингер и Хунтингтон высказали предположение о том, что при давлении свыше 250 тысяч атм водород может перейти в металлическое состояние. Получение этого вещества в устойчивом состоянии открывало очень заманчивые перспективы его применения — ведь это был бы сверхлегкий металл, компонент легкого и энергоёмкого ракетного топлива. В 2014 году было установлено, что при давлении порядка 1,5—2,0 млн атм водород начинает поглощать инфракрасное излучение, а это означает, что электронные оболочки молекул водорода поляризуются. Возможно, при ещё более высоких давлениях водород превратится в металл.",0.06
"Внешний вид и окраска крыльев бабочек имеют важную роль в повышении их выживаемости. Это и защитный камуфляж, внутривидовое половое распознание при спаривании, и апосематическая демонстрация. Окраска крыльев чешуекрылых может быть пигментной (зависит от содержащихся пигментов), оптической (зависит от преломления света) и комбинационной (сочетающая два предыдущих типа окраски). Яркая окраска крыльев некоторых бабочек (например, таких крупных и эффектно окрашенных бабочек как Ornithoptera) контролируется двумя основными механизмами: диффузным отражением падающего света от мультислоёв и спектральной фильтрацией внутреннего пигмента.",0.06
"Книги раннего периода книгопечатания XV—XVI веков, так называемые инкунабулы, обычно имели тираж до 500 экземпляров. Тираж первой русской книги, Апостола 1564 года, определяют по-разному — от 600 до 2000 экземпляров. В XVII веке стандартный тираж русской книги установился в 1200 экземпляров (сто дюжин, т. н. выход )[1]. Многие популярные издания превышали это число, например Азбука Бурцова 1634 года вышла огромным по меркам того времени тиражом в 6000 экземпляров[1]. Несмотря на общее развитие типографского дела тираж книг вплоть до 1880-х годов оставался низким — 1200 или 2400 экземпляров[2][3][4].",0.05
"В большинстве языков артикль ставится перед относящимся к нему существительным (препозитивный артикль). В скандинавских языках артикль может ставиться в конце слова (постпозитивный артикль). Так, в шведском языке planen план , planet самолёт , возможен также случай двойного определённого артикля, когда используется и отдельный артикль и артикль в конце слова (det stora huset большой дом ). Несколько балканских языков также используют постпозитивный артикль, например, в румынском consulul консул , аналогично в македонском и болгарском, например, дърво дерево , дървото (это) дерево .",0.06
"В верхнем палеолите возникают развитые ритуалы и культы: тотемизм, фетишизм, анимизм, шаманизм. Изображения и захоронения медведей вместе с его глиняными статуэтками, покрытыми медвежьей шкурой, свидетельствуют о древнем тотемном культе этого животного. Не исключено также, что культ хищных зверей обозначает начало или магическое обоснование охоты на людей и ведения войн или прямую зависимость племени от популяции хищника. Антропоморфные изображения и представления о существовании полулюдей-полузверей могут свидетельствовать и о появлении у людей верхнего палеолита пантеона богов или сверхъестественных существ, как о практике шаманского типа, с нагвализмом, отождествлением человека и соседствующего вида, характерным равенством природы существ. Выражаемое посредством надевания масок животных, шкур или черепов, как это наблюдается в современных племенных сообществах, отождествление шамана с духом зверя связывается с общностью природы стаи, племени, стада видов. Считают, что поклонение предкам также возникло в верхнем палеолите и совпадает с феноменом существования вожака и уникальных особей или феномена упорядоченности в каждой стае. Идентификатор вожака, признак особи — мог существовать дольше чем организм особи, оказываясь наследуемым и наблюдаемым в соотношении с иными признаками.",0.07
