text_order_id,sentence,num_triplets,triplets,abbreviation
533,"Die Beutelteufel verschafften sich Respekt bei tasmanischen Farmern wegen ihrer ökologischen Rolle, da sie Kadaver beseitigen und somit die Vermehrung von Insekten verhindern, die sich nachteilig auf den übrigen Viehbestand auswirken könnten.",4,"[{'subject': {'upos': 'NOUN', 'text': 'Beutelteufel', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'verschafften', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 4, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Kadaver', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'beseitigen', 'id': 17, 'deprel': 'advcl', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Vermehrung', 'id': 21, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'verhindern', 'id': 24, 'deprel': 'conj', 'head': 17}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 26, 'deprel': 'nsubj', 'head': 33}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 27, 'deprel': 'obj', 'head': 33}, 'verb': {'upos': 'VERB', 'text': 'auswirken', 'id': 33, 'deprel': 'acl', 'head': 23}}]","['SVO', 'SOV', 'SOV', 'SOV']"
559,"Die Gambier sind recht polyglott, da sie sich hauptsächlich durch ihre eigene Sprache definieren und oft mehrere Sprachen fließend sprechen oder sich darin verständigen können.",3,"[{'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 9, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'definieren', 'id': 15, 'deprel': 'advcl', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'NOUN', 'text': 'Sprachen', 'id': 19, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'sprechen', 'id': 21, 'deprel': 'conj', 'head': 15}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 23, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'verständigen', 'id': 25, 'deprel': 'conj', 'head': 21}}]","['SOV', 'SOV', 'SOV']"
1172,"Die Lippenhaut hat keinen Hydro-Lipid-Film, eine Schutzschicht aus Schweiß und Talg, die die Haut geschmeidig hält und Krankheitserreger abtötet.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Lippenhaut', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'hat', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Film', 'id': 9, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 18, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'Haut', 'id': 20, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'hält', 'id': 22, 'deprel': 'acl', 'head': 9}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 18, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'Krankheitserreger', 'id': 24, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'abtötet', 'id': 25, 'deprel': 'conj', 'head': 22}}]","['SVO', 'SOV', 'SOV']"
1532,"James hat Bella nicht verfolgt, sondern sie hat ihn in einem Ballettstudio in Phoenix aufgesucht, nachdem sie einen Anruf von ihm erhalten hatte.",3,"[{'subject': {'upos': 'PROPN', 'text': 'James', 'id': 1, 'deprel': 'nsubj', 'head': 5}, 'object': {'upos': 'PROPN', 'text': 'Bella', 'id': 3, 'deprel': 'obj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'verfolgt', 'id': 5, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 10, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'aufgesucht', 'id': 16, 'deprel': 'conj', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 19, 'deprel': 'nsubj', 'head': 24}, 'object': {'upos': 'NOUN', 'text': 'Anruf', 'id': 21, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'erhalten', 'id': 24, 'deprel': 'advcl', 'head': 16}}]","['SOV', 'SOV', 'SOV']"
1852,"Kaizen bedeutet ""Veränderung zum Besseren"" und bezeichnet eine japanische Lebens- und Arbeitsphilosophie, die sich auf die kontinuierliche und unendliche Verbesserung von Produkten oder Prozessen konzentriert.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Kaizen', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bedeutet', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Veränderung', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Kaizen', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 10, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Lebens', 'id': 13, 'deprel': 'obj', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 18, 'deprel': 'nsubj', 'head': 30}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 19, 'deprel': 'obj', 'head': 30}, 'verb': {'upos': 'VERB', 'text': 'konzentriert', 'id': 30, 'deprel': 'acl', 'head': 13}}]","['SVO', 'SVO', 'SOV']"
612,"Pascha löst seine missliche Lage, indem er an seinen besten Mann Jackie schreibt und ihn warnt, woraufhin Jackie zu Shrikanth Mathur geht und ihn warnt.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Pascha', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'löst', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Lage', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 8, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'warnt', 'id': 17, 'deprel': 'conj', 'head': 14}}, {'subject': {'upos': 'PROPN', 'text': 'Jackie', 'id': 20, 'deprel': 'nsubj', 'head': 24}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 26, 'deprel': 'obj', 'head': 27}, 'verb': {'upos': 'VERB', 'text': 'warnt', 'id': 27, 'deprel': 'conj', 'head': 24}}]","['SVO', 'SOV', 'SOV']"
144,"Thrasybulos eroberte Byzantion (Istanbul), führte eine Zollgebühr für die Durchquerung der Dardanellen ein und sammelte Tributabgaben von vielen Inseln der Ägäis.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Thrasybulos', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'eroberte', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Byzantion', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Thrasybulos', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'führte', 'id': 8, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Zollgebühr', 'id': 10, 'deprel': 'obj', 'head': 8}}, {'subject': {'upos': 'PROPN', 'text': 'Thrasybulos', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'sammelte', 'id': 18, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Tributabgaben', 'id': 19, 'deprel': 'obj', 'head': 18}}]","['SVO', 'SVO', 'SVO']"
1460,"Adam Sandler spielte 1995 keine Rolle, da die Texte keine Informationen über seine Tätigkeiten im Jahr 1995 enthalten.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Adam', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'spielte', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Rolle', 'id': 6, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'NOUN', 'text': 'Texte', 'id': 10, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'Informationen', 'id': 12, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'enthalten', 'id': 20, 'deprel': 'advcl', 'head': 3}}]","['SVO', 'SOV']"
684,Amelia verließ San Diego und nahm die beiden Kinder mit über die Grenze in ihr Heimatland Mexiko.,2,"[{'subject': {'upos': 'PROPN', 'text': 'Amelia', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'verließ', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'San', 'id': 3, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Amelia', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'nahm', 'id': 6, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Kinder', 'id': 9, 'deprel': 'obj', 'head': 6}}]","['SVO', 'SVO']"
874,"Anschließend besuchte sie die Jawaharlal Nehru University, wo sie Kurse in Deutsch belegte.",2,"[{'verb': {'upos': 'VERB', 'text': 'besuchte', 'id': 2, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PRON', 'text': 'sie', 'id': 3, 'deprel': 'nsubj', 'head': 2}, 'object': {'upos': 'PROPN', 'text': 'Jawaharlal', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 10, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'Kurse', 'id': 11, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'belegte', 'id': 14, 'deprel': 'acl', 'head': 5}}]","['VSO', 'SOV']"
