text_order_id,sentence,num_triplets,triplets,abbreviation
533,"Die Beutelteufel verschafften sich Respekt bei tasmanischen Farmern wegen ihrer ökologischen Rolle, da sie Kadaver beseitigen und somit die Vermehrung von Insekten verhindern, die sich sonst nachteilig auf den Viehbestand auswirken könnten.",4,"[{'subject': {'upos': 'NOUN', 'text': 'Beutelteufel', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'verschafften', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 4, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Kadaver', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'beseitigen', 'id': 17, 'deprel': 'advcl', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 15, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Vermehrung', 'id': 21, 'deprel': 'obj', 'head': 24}, 'verb': {'upos': 'VERB', 'text': 'verhindern', 'id': 24, 'deprel': 'conj', 'head': 17}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 26, 'deprel': 'nsubj', 'head': 33}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 27, 'deprel': 'obj', 'head': 33}, 'verb': {'upos': 'VERB', 'text': 'auswirken', 'id': 33, 'deprel': 'acl', 'head': 21}}]","['SVO', 'SOV', 'SOV', 'SOV']"
1976,"Die Räte kontrollierten die Stadtverwaltungen, verhafteten kaisertreue Beamte, bildeten ""Rote Garden"" und übernahmen die Verteilung von Nahrungsmitteln, Polizeigewalt und die Unterbringung und Verpflegung der heimkehrenden Frontsoldaten.",4,"[{'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'kontrollierten', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Stadtverwaltungen', 'id': 5, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'verhafteten', 'id': 7, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'NOUN', 'text': 'Beamte', 'id': 9, 'deprel': 'obj', 'head': 7}}, {'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'bildeten', 'id': 11, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'PROPN', 'text': 'Garden', 'id': 14, 'deprel': 'obj', 'head': 11}}, {'subject': {'upos': 'NOUN', 'text': 'Räte', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'übernahmen', 'id': 17, 'deprel': 'conj', 'head': 3}, 'object': {'upos': 'NOUN', 'text': 'Verteilung', 'id': 19, 'deprel': 'obj', 'head': 17}}]","['SVO', 'SVO', 'SVO', 'SVO']"
1782,"Bruce Wayne alias Batman fängt Lau in Hongkong und bringt ihn nach Gotham City, wo er ihn an die Polizei ausliefert.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Bruce', 'id': 1, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'fängt', 'id': 5, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'PROPN', 'text': 'Lau', 'id': 6, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'PROPN', 'text': 'Bruce', 'id': 1, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'bringt', 'id': 10, 'deprel': 'conj', 'head': 5}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 11, 'deprel': 'obj', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'er', 'id': 17, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'PRON', 'text': 'ihn', 'id': 18, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'ausliefert', 'id': 22, 'deprel': 'acl', 'head': 13}}]","['SVO', 'SVO', 'SOV']"
559,"Die Gambier sind recht polyglott, da sie sich hauptsächlich durch ihre eigene Sprache definieren und oft mehrere Sprachen fließend sprechen oder sich darin verständigen können.",3,"[{'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 9, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'definieren', 'id': 15, 'deprel': 'advcl', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'NOUN', 'text': 'Sprachen', 'id': 19, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'sprechen', 'id': 21, 'deprel': 'conj', 'head': 15}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 8, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 23, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'verständigen', 'id': 25, 'deprel': 'conj', 'head': 21}}]","['SOV', 'SOV', 'SOV']"
851,"Die Korea-Kiefer produziert Samen, die jedoch keine Kiefernart bildet, die größere Samen produziert.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Korea', 'id': 2, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'produziert', 'id': 5, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Samen', 'id': 6, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 8, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'Kiefernart', 'id': 11, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'bildet', 'id': 12, 'deprel': 'acl', 'head': 6}}, {'subject': {'upos': 'PRON', 'text': 'die', 'id': 14, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'Samen', 'id': 16, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'produziert', 'id': 17, 'deprel': 'acl', 'head': 11}}]","['SVO', 'SOV', 'SOV']"
126,"Die Strategie-Helden besitzen die Fähigkeit, ihre Soldaten zu heilen, während die Krieger-Helden eine enorme Kampfstärke haben und verbündeten Einheiten einen Kampfbonus verleihen.",3,"[{'subject': {'upos': 'NOUN', 'text': 'Helden', 'id': 4, 'deprel': 'nsubj', 'head': 5}, 'verb': {'upos': 'VERB', 'text': 'besitzen', 'id': 5, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Fähigkeit', 'id': 7, 'deprel': 'obj', 'head': 5}}, {'subject': {'upos': 'NOUN', 'text': 'Helden', 'id': 18, 'deprel': 'nsubj', 'head': 22}, 'object': {'upos': 'NOUN', 'text': 'Kampfstärke', 'id': 21, 'deprel': 'obj', 'head': 22}, 'verb': {'upos': 'VERB', 'text': 'haben', 'id': 22, 'deprel': 'advcl', 'head': 12}}, {'subject': {'upos': 'NOUN', 'text': 'Einheiten', 'id': 25, 'deprel': 'nsubj', 'head': 28}, 'object': {'upos': 'NOUN', 'text': 'Kampfbonus', 'id': 27, 'deprel': 'obj', 'head': 28}, 'verb': {'upos': 'VERB', 'text': 'verleihen', 'id': 28, 'deprel': 'conj', 'head': 22}}]","['SVO', 'SOV', 'SOV']"
1852,"Kaizen bedeutet ""Veränderung zum Besseren"" und bezeichnet sowohl eine japanische Lebens- und Arbeitsphilosophie als auch ein methodisches Konzept, das sich auf die kontinuierliche und unendliche Verbesserung von Produkten oder Prozessen konzentriert.",3,"[{'subject': {'upos': 'PROPN', 'text': 'Kaizen', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bedeutet', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Veränderung', 'id': 4, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Kaizen', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'bezeichnet', 'id': 10, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Lebens', 'id': 14, 'deprel': 'obj', 'head': 10}}, {'subject': {'upos': 'PRON', 'text': 'das', 'id': 24, 'deprel': 'nsubj', 'head': 36}, 'object': {'upos': 'PRON', 'text': 'sich', 'id': 25, 'deprel': 'obj', 'head': 36}, 'verb': {'upos': 'VERB', 'text': 'konzentriert', 'id': 36, 'deprel': 'acl', 'head': 22}}]","['SVO', 'SVO', 'SOV']"
874,"Anschließend besuchte sie die Jawaharlal Nehru University, wo sie Kurse in Deutsch belegte.",2,"[{'verb': {'upos': 'VERB', 'text': 'besuchte', 'id': 2, 'deprel': 'root', 'head': 0}, 'subject': {'upos': 'PRON', 'text': 'sie', 'id': 3, 'deprel': 'nsubj', 'head': 2}, 'object': {'upos': 'PROPN', 'text': 'Jawaharlal', 'id': 5, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PRON', 'text': 'sie', 'id': 10, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'Kurse', 'id': 11, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'belegte', 'id': 14, 'deprel': 'acl', 'head': 5}}]","['VSO', 'SOV']"
63,Armenien behielt unter der Seleukiden-Herrschaft einen beachtlichen Grad an Autonomie und behielt seine einheimischen Herrscher.,2,"[{'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'behielt', 'id': 2, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'NOUN', 'text': 'Grad', 'id': 10, 'deprel': 'obj', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Armenien', 'id': 1, 'deprel': 'nsubj', 'head': 2}, 'verb': {'upos': 'VERB', 'text': 'behielt', 'id': 14, 'deprel': 'conj', 'head': 2}, 'object': {'upos': 'NOUN', 'text': 'Herrscher', 'id': 17, 'deprel': 'obj', 'head': 14}}]","['SVO', 'SVO']"
1624,"Beckerath vermutet, dass Baka, der Grabherr, seinen Vater Radjedef überlebt und für sehr kurze Zeit den Thron bestiegen hat.",2,"[{'subject': {'upos': 'PROPN', 'text': 'Baka', 'id': 5, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'NOUN', 'text': 'Vater', 'id': 11, 'deprel': 'obj', 'head': 13}, 'verb': {'upos': 'VERB', 'text': 'überlebt', 'id': 13, 'deprel': 'ccomp', 'head': 2}}, {'subject': {'upos': 'PROPN', 'text': 'Baka', 'id': 5, 'deprel': 'nsubj', 'head': 13}, 'object': {'upos': 'NOUN', 'text': 'Thron', 'id': 20, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'bestiegen', 'id': 21, 'deprel': 'conj', 'head': 13}}]","['SOV', 'SOV']"
