text_order_id,sentence,num_triplets,triplets,abbreviation
1032,"कृतज्ञता महसूस करने का लाभ आभारी लोगों में खुशी का स्तर बढ़ाता है, अवसाद और तनाव का स्तर कम करता है, जीवन के उद्देश्य और आत्म स्वीकृति के लिए नियंत्रण स्तर बढ़ाता है, आने वाली कठिनाइयों का सामना करने के लिए अधिक सकारात्मक तरीकों से योगदान देता है, अन्य लोगों से समर्थन मिलने की संभावना बढ़ाता है और समस्याओं के समाधान के लिए योजनाओं का विकास करने में समय बचाता है।",4,"[{'subject': {'upos': 'NOUN', 'text': 'लाभ', 'id': 5, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'स्तर', 'id': 11, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'बढ़ाता', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'लाभ', 'id': 5, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'स्तर', 'id': 19, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 21, 'deprel': 'conj', 'head': 12}}, {'subject': {'upos': 'NOUN', 'text': 'लाभ', 'id': 5, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'स्तर', 'id': 33, 'deprel': 'obj', 'head': 34}, 'verb': {'upos': 'VERB', 'text': 'बढ़ाता', 'id': 34, 'deprel': 'conj', 'head': 21}}, {'subject': {'upos': 'NOUN', 'text': 'लाभ', 'id': 5, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'समय', 'id': 73, 'deprel': 'obj', 'head': 74}, 'verb': {'upos': 'VERB', 'text': 'बचाता', 'id': 74, 'deprel': 'conj', 'head': 60}}]","['SOV', 'SOV', 'SOV', 'SOV']"
328,महिलाएं अक्सर शुक्रवाहिकोच्छेदन उलटाव करवाना चाहती हैं क्योंकि यह डिंबवाहनी बंधन की तुलना में बहुत कम जटिलताएं उत्पन्न करता है और डिंबग्रंथि कैंसर का जोखिम कम करता है।,3,"[{'subject': {'upos': 'NOUN', 'text': 'महिलाएं', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'VERB', 'text': 'करवाना', 'id': 5, 'deprel': 'obj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'चाहती', 'id': 6, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'यह', 'id': 9, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'जटिलताएं', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 19, 'deprel': 'obj', 'head': 6}}, {'subject': {'upos': 'PRON', 'text': 'यह', 'id': 9, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'जोखिम', 'id': 25, 'deprel': 'obj', 'head': 27}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 27, 'deprel': 'conj', 'head': 19}}]","['SOV', 'SOV', 'SOV']"
733,"मिलर ने कहा कि वे चाहते थे कि वेसले गिब्सन और फॉक्स को शक्तियाँ दी जाएं और वे शुरुआत में पोशाक पहनें, लेकिन इस कार्य को एक पैनल तक रखें। उन्होंने भी कहा कि वे महा खलनायक मिथक को रखना चाहते हैं जो फ़िल्म में मूल कॉमिक को निर्धारित करता है।",3,"[{'subject': {'upos': 'PRON', 'text': 'उन्होंने', 'id': 1, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'कहा', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चाहते', 'id': 11, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वे', 'id': 5, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'VERB', 'text': 'रखना', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'चाहते', 'id': 11, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'जो', 'id': 13, 'deprel': 'nsubj', 'head': 20}, 'object': {'upos': 'NOUN', 'text': 'कॉमिक', 'id': 17, 'deprel': 'obj', 'head': 20}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 20, 'deprel': 'acl:relcl', 'head': 8}}]","['SVO', 'SOV', 'SOV']"
16,"पैकेट को अग्रेषित करने के लिए, नेटवर्क नियंत्रण पैकेटों को डिफ़ाल्ट द्वारा कुछ बैंडविड्थ आबंटित किया जाता है, जबकि सर्वोत्तम प्रयास वाले यातायात को बचा हुआ बैंडविड्थ दिया जाता है।",2,"[{'object': {'upos': 'NOUN', 'text': 'पैकेटों', 'id': 10, 'deprel': 'obj', 'head': 17}, 'subject': {'upos': 'NOUN', 'text': 'डिफ़ाल्ट', 'id': 12, 'deprel': 'nsubj:pass', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 17, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'डिफ़ाल्ट', 'id': 12, 'deprel': 'nsubj:pass', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'बैंडविड्थ', 'id': 29, 'deprel': 'obj', 'head': 30}, 'verb': {'upos': 'VERB', 'text': 'दिया', 'id': 30, 'deprel': 'conj', 'head': 17}}]","['OSV', 'SOV']"
23,रॉक्स ने 1885 में भ्रूण चिकन के एक अंतस्था प्लेट के एक हिस्से को अलग किया और उसे कई दिनों तक गर्म खारे घोल में बनाए रखा।,2,"[{'subject': {'upos': 'PROPN', 'text': 'रॉक्स', 'id': 1, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'NOUN', 'text': 'हिस्से', 'id': 13, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 16, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'रॉक्स', 'id': 1, 'deprel': 'nsubj', 'head': 16}, 'object': {'upos': 'PRON', 'text': 'उसे', 'id': 18, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'बनाए', 'id': 26, 'deprel': 'conj', 'head': 16}}]","['SOV', 'SOV']"
78,थिएटर केबिनेट ऑफ द नैटिविटी थिएटर और म्यूजियम ईसा के जीवन के महत्वपूर्ण चरणों को चित्रित करता है और 20 मिनट का एक एनीमेटेड शो प्रस्तुत करता है।,2,"[{'subject': {'upos': 'NOUN', 'text': 'थिएटर', 'id': 1, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'चरणों', 'id': 14, 'deprel': 'obj', 'head': 17}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 17, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'थिएटर', 'id': 1, 'deprel': 'nsubj', 'head': 17}, 'object': {'upos': 'NOUN', 'text': 'शो', 'id': 25, 'deprel': 'obj', 'head': 27}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 27, 'deprel': 'conj', 'head': 17}}]","['SOV', 'SOV']"
180,दर्शकों द्वारा तालियां बजाए जाने और उत्साहित किए जाने पर गेट्स ने प्रशंसा प्रदान की।,2,"[{'subject': {'upos': 'NOUN', 'text': 'दर्शकों', 'id': 1, 'deprel': 'nsubj:pass', 'head': 4}, 'object': {'upos': 'NOUN', 'text': 'तालियां', 'id': 3, 'deprel': 'obj', 'head': 4}, 'verb': {'upos': 'VERB', 'text': 'बजाए', 'id': 4, 'deprel': 'obl', 'head': 15}}, {'subject': {'upos': 'PROPN', 'text': 'गेट्स', 'id': 11, 'deprel': 'nsubj', 'head': 15}, 'object': {'upos': 'NOUN', 'text': 'प्रशंसा', 'id': 13, 'deprel': 'obj', 'head': 15}, 'verb': {'upos': 'VERB', 'text': 'की', 'id': 15, 'deprel': 'root', 'head': 0}}]","['SOV', 'SOV']"
248,"हिंदू धर्मग्रंथ बताते हैं कि वह जो आत्महत्या करता है, आत्माओं की दुनिया में चला जाता है और वहाँ वह तब तक रहता है जब तक कि उसका धरती पर जीवन तय था, यदि वह आत्महत्या न करता।",2,"[{'subject': {'upos': 'NOUN', 'text': 'धर्मग्रंथ', 'id': 2, 'deprel': 'nsubj', 'head': 3}, 'verb': {'upos': 'VERB', 'text': 'बताते', 'id': 3, 'deprel': 'root', 'head': 0}, 'object': {'upos': 'VERB', 'text': 'चला', 'id': 16, 'deprel': 'obj', 'head': 3}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 6, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'PRON', 'text': 'जो', 'id': 7, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 9, 'deprel': 'acl:relcl', 'head': 12}}]","['SVO', 'SOV']"
338,बौद्ध धर्म मानता है कि गर्भाधान को रोकना स्वीकार्य है लेकिन गर्भावस्था को समाप्त करना स्वीकार्य नहीं है।,2,"[{'subject': {'upos': 'VERB', 'text': 'रोकना', 'id': 8, 'deprel': 'nsubj', 'head': 10}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 9, 'deprel': 'obj', 'head': 10}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 10, 'deprel': 'ccomp', 'head': 3}}, {'subject': {'upos': 'VERB', 'text': 'करना', 'id': 15, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'ADJ', 'text': 'स्वीकार्य', 'id': 16, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'है', 'id': 18, 'deprel': 'conj', 'head': 10}}]","['SOV', 'SOV']"
477,1967 के रेफ़रेंडम से आदिवासियों प्रभावित हुए थे। संघीय सरकार ने नीतियों को कार्यान्वित करने के लिए शक्ति प्राप्त की और आदिवासियों के लिए कानून बनाया।,2,"[{'subject': {'upos': 'NOUN', 'text': 'सरकार', 'id': 2, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'शक्ति', 'id': 10, 'deprel': 'obj', 'head': 12}, 'verb': {'upos': 'VERB', 'text': 'की', 'id': 12, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'सरकार', 'id': 2, 'deprel': 'nsubj', 'head': 12}, 'object': {'upos': 'NOUN', 'text': 'कानून', 'id': 17, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'बनाया', 'id': 18, 'deprel': 'conj', 'head': 12}}]","['SOV', 'SOV']"
488,सेलेनियम वेबड्राइवर आदेशों को स्वीकार करता है और एक ब्राउज़र के लिए उन्हें भेजता है।,2,"[{'subject': {'upos': 'PROPN', 'text': 'सेलेनियम', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'NOUN', 'text': 'आदेशों', 'id': 3, 'deprel': 'obj', 'head': 6}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 6, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'सेलेनियम', 'id': 1, 'deprel': 'nsubj', 'head': 6}, 'object': {'upos': 'PRON', 'text': 'उन्हें', 'id': 13, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'भेजता', 'id': 14, 'deprel': 'conj', 'head': 6}}]","['SOV', 'SOV']"
575,टीकाकरण महत्वपूर्ण है क्योंकि वे बच्चों तथा वयस्कों को बीमारियों जैसे इन्फ्लुएंज़ा और निमोनिया के विरुद्ध रोकते हैं। ये टीकाए भी स्वास्थ्य सेवा कार्यकर्ताओं को रोगियों के बीच वायरस जनित निमोनिया के जोखिम को कम करने में मदद करते हैं। टीकाए नए रोगों के विकास को रोक सकती हैं और रोगों के गंभीरता को कम कर सकती हैं।,2,"[{'subject': {'upos': 'NOUN', 'text': 'टीकाए', 'id': 1, 'deprel': 'nsubj', 'head': 7}, 'object': {'upos': 'NOUN', 'text': 'विकास', 'id': 5, 'deprel': 'obj', 'head': 7}, 'verb': {'upos': 'VERB', 'text': 'रोक', 'id': 7, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'टीकाए', 'id': 1, 'deprel': 'nsubj', 'head': 7}, 'object': {'upos': 'NOUN', 'text': 'गंभीरता', 'id': 13, 'deprel': 'obj', 'head': 16}, 'verb': {'upos': 'VERB', 'text': 'कर', 'id': 16, 'deprel': 'conj', 'head': 7}}]","['SOV', 'SOV']"
775,गवर्नर-जनरल द्वारा नियुक्त सदस्य और भारतीय सचिव द्वारा चुने गए सदस्य एक समूह बनाते हैं जो सरकारी विधानों पर काम करता है।,2,"[{'subject': {'upos': 'NOUN', 'text': 'सदस्य', 'id': 4, 'deprel': 'nsubj', 'head': 14}, 'object': {'upos': 'NOUN', 'text': 'समूह', 'id': 13, 'deprel': 'obj', 'head': 14}, 'verb': {'upos': 'VERB', 'text': 'बनाते', 'id': 14, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'जो', 'id': 16, 'deprel': 'nsubj', 'head': 21}, 'object': {'upos': 'NOUN', 'text': 'काम', 'id': 20, 'deprel': 'obj', 'head': 21}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 21, 'deprel': 'acl:relcl', 'head': 13}}]","['SOV', 'SOV']"
947,निरर्थ ने उपहार प्रदान किये। उन्होने दक्षिण तट के किनारे पहुंचकर इस स्थान की सुन्दरता देखी और कुछ मछुआरों ने उन्हें उपहार प्रदान किये।,2,"[{'subject': {'upos': 'PRON', 'text': 'उन्होने', 'id': 1, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'NOUN', 'text': 'सुन्दरता', 'id': 10, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'देखी', 'id': 11, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'NOUN', 'text': 'मछुआरों', 'id': 14, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'उपहार', 'id': 17, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'किये', 'id': 19, 'deprel': 'conj', 'head': 11}}]","['SOV', 'SOV']"
954,पहली बार मुख्य कार्यक्रम क्रिप्लर क्रोसफेस ठोकने पर मजबूर करते हुए रेसलमैनिया XX में बेनोइट ने वर्ल्हवीटवेट चैम्पियनशिप जीत ली और कार्यक्रम को समाप्त किया।,2,"[{'subject': {'upos': 'PROPN', 'text': 'बेनोइट', 'id': 15, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'PROPN', 'text': 'चैम्पियनशिप', 'id': 18, 'deprel': 'obj', 'head': 19}, 'verb': {'upos': 'VERB', 'text': 'जीत', 'id': 19, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'बेनोइट', 'id': 15, 'deprel': 'nsubj', 'head': 19}, 'object': {'upos': 'NOUN', 'text': 'कार्यक्रम', 'id': 22, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 25, 'deprel': 'conj', 'head': 19}}]","['SOV', 'SOV']"
1365,जेम्स-लैंग सिद्धांत के नाम सिद्धांत के प्रस्तावक व्यक्तियों विलियम जेम्स और कार्ल लैंग के नाम पर रखा गया है। जेम्स ने यह सिद्धांत मूल रूप से प्रस्तावित किया था और लैंग ने इसे डैनिश में व्याख्या की।,2,"[{'subject': {'upos': 'PROPN', 'text': 'जेम्स', 'id': 1, 'deprel': 'nsubj', 'head': 9}, 'object': {'upos': 'NOUN', 'text': 'सिद्धांत', 'id': 4, 'deprel': 'obj', 'head': 9}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 9, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'लैंग', 'id': 12, 'deprel': 'nsubj', 'head': 18}, 'object': {'upos': 'PRON', 'text': 'इसे', 'id': 14, 'deprel': 'obj', 'head': 18}, 'verb': {'upos': 'VERB', 'text': 'की', 'id': 18, 'deprel': 'conj', 'head': 9}}]","['SOV', 'SOV']"
1378,"सैनाब्रिया ने इस नई पद्धति को प्रस्तुत किया, क्योंकि वह देख-रेख करने वालों की कमी और विधि संसाधनों की कमी दूर करने के लिए था।",2,"[{'subject': {'upos': 'PROPN', 'text': 'सैनाब्रिया', 'id': 1, 'deprel': 'nsubj', 'head': 8}, 'object': {'upos': 'NOUN', 'text': 'पद्धति', 'id': 5, 'deprel': 'obj', 'head': 8}, 'verb': {'upos': 'VERB', 'text': 'किया', 'id': 8, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PRON', 'text': 'वह', 'id': 11, 'deprel': 'nsubj', 'head': 26}, 'object': {'upos': 'NOUN', 'text': 'कमी', 'id': 16, 'deprel': 'obj', 'head': 26}, 'verb': {'upos': 'VERB', 'text': 'था', 'id': 26, 'deprel': 'advcl', 'head': 8}}]","['SOV', 'SOV']"
1462,AMA नशीली दवा को एक चिरकालिक पुनरावृत्ति वाला मस्तिष्क रोग मानता है और इसे बाध्यकारी दवा की मांग और उपयोग की विशेषता वाला वर्णित करता है।,2,"[{'subject': {'upos': 'PROPN', 'text': 'AMA', 'id': 1, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'NOUN', 'text': 'दवा', 'id': 3, 'deprel': 'obj', 'head': 11}, 'verb': {'upos': 'VERB', 'text': 'मानता', 'id': 11, 'deprel': 'root', 'head': 0}}, {'subject': {'upos': 'PROPN', 'text': 'AMA', 'id': 1, 'deprel': 'nsubj', 'head': 11}, 'object': {'upos': 'PRON', 'text': 'इसे', 'id': 14, 'deprel': 'obj', 'head': 25}, 'verb': {'upos': 'VERB', 'text': 'करता', 'id': 25, 'deprel': 'conj', 'head': 11}}]","['SOV', 'SOV']"
